0,1,2,3,4,5,6,7,8,9
1.0,1.0,4.889655172413793,1.0,1.0,4.912310286677909,1.0,5.0,1.0,5.0
4.850340136054422,4.85237258347979,5.0,4.768826619964973,1.0,1.0,1.0,1.0,1.0,1.0
1.0,4.732418524871355,1.0,1.0,4.709090909090909,1.0,1.0,4.852889667250437,5.0,1.0
1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0
4.992957746478874,1.0,1.0,1.0,4.7618213660245186,4.95840554592721,4.860805860805861,1.0,1.0,1.0
1.0,1.0,4.9589041095890405,1.0,1.0,4.986417657045841,1.0,5.0,1.0,4.866444073455759
1.0,1.0,4.992869875222817,1.0,1.0,5.0,1.0,4.744107744107744,1.0,4.4868421052631575
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.9633699633699635,1.0
5.0,4.979274611398964,5.0,4.777777777777778,1.0,1.0,1.0,1.0,1.0,1.0
1.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,4.769736842105263
1.0,1.0,1.0,4.79020979020979,1.0,1.0,4.8362989323843415,1.0,4.63265306122449,4.720136518771332
1.0,4.738977072310405,1.0,1.0,4.865961199294532,1.0,1.0,4.7865748709122204,4.5126903553299496,1.0
5.0,4.545611015490533,4.83453237410072,4.567753001715266,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,4.798611111111112,1.0,1.0,4.824868651488616,1.0,4.963503649635037,4.820998278829604
1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,5.0
1.0,1.0,4.992831541218639,1.0,1.0,5.0,1.0,4.986062717770035,1.0,4.950963222416813
1.0,1.0,4.5634028892455865,1.0,1.0,4.7687074829931975,1.0,4.852100840336134,1.0,4.759450171821305
5.0,1.0,1.0,1.0,4.718804920913884,5.0,5.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,5.0,5.0,4.84083044982699,1.0,1.0,1.0
1.0,4.964973730297723,1.0,1.0,4.768313458262351,1.0,1.0,4.865546218487395,4.638795986622073,1.0
1.0,4.691803278688525,1.0,1.0,4.6838487972508585,1.0,1.0,4.943760984182777,4.877697841726619,1.0
1.0,1.0,5.0,1.0,1.0,4.66608695652174,1.0,4.656401944894651,1.0,4.462585034013605
1.0,1.0,5.0,1.0,1.0,4.971631205673759,1.0,4.986013986013985,1.0,4.763888888888889
1.0,4.837455830388692,1.0,1.0,1.0,1.0,1.0,4.865961199294532,1.0,4.706093189964158
1.0,4.929577464788732,1.0,1.0,5.0,1.0,1.0,5.0,4.832422586520948,1.0
1.0,4.630872483221477,1.0,1.0,4.530303030303031,1.0,1.0,4.63013698630137,4.2556521739130435,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0
1.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0
1.0,1.0,4.6938775510204085,1.0,1.0,4.9299474605954465,1.0,4.763113367174281,1.0,4.67433628318584
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.48993288590604
1.0,1.0,1.0,4.893805309734513,1.0,1.0,4.992994746059544,1.0,5.0,4.957671957671957
1.0,4.539007092198582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
