0,1,2,3,4,5,6,7,8,9
0.0,0.0,3.315068493150685,0.0,0.0,4.7322175732217575,0.0,4.955555555555555,0.0,4.999999999999999
3.7339449541284404,4.723404255319148,4.155555555555555,4.029126213592233,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.2127659574468086,0.0,0.0,5.0,0.0,0.0,3.545454545454545,4.549295774647888,0.0
0.0,0.0,0.0,0.0,0.0,4.813953488372093,0.0,0.0,0.0,0.0
4.300546448087432,0.0,0.0,0.0,3.9499999999999997,3.1782178217821784,3.316417910447761,0.0,0.0,0.0
0.0,0.0,4.675675675675676,0.0,0.0,5.0,0.0,5.0,0.0,4.097276264591439
0.0,0.0,3.3559322033898304,0.0,0.0,3.671875,0.0,3.0811808118081183,0.0,3.5108225108225106
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
4.420814479638009,4.83710407239819,4.167420814479637,3.696202531645569,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
0.0,0.0,0.0,4.09278350515464,0.0,0.0,2.714285714285714,0.0,3.893617021276596,3.05761316872428
0.0,3.742268041237114,0.0,0.0,3.834008097165992,0.0,0.0,3.610328638497652,3.6166666666666663,0.0
3.391959798994975,3.860215053763441,2.899159663865546,3.2123893805309733,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,0.0,0.0,4.999999999999999,0.0,4.7227722772277225,4.474178403755868
0.0,0.0,0.0,4.999999999999999,0.0,0.0,5.0,0.0,5.0,5.0
0.0,0.0,3.600896860986547,0.0,0.0,4.20855614973262,0.0,4.225806451612904,0.0,5.000000000000001
0.0,0.0,2.7160120845921454,0.0,0.0,2.7662337662337664,0.0,3.2857142857142856,0.0,2.8755186721991697
2.832258064516129,0.0,0.0,0.0,4.664804469273744,3.2393822393822393,4.036649214659686,0.0,0.0,0.0
4.8965517241379315,0.0,0.0,0.0,5.0,4.980487804878049,5.0,0.0,0.0,0.0
0.0,5.0,0.0,0.0,5.0,0.0,0.0,4.046025104602511,3.21606648199446,0.0
