0,1,2,3,4,5,6,7,8,9
0.0,0.0,56.4,0.0,0.0,58.0,0.0,57.9,0.0,56.5
56.6,54.8,55.6,53.8,0.0,0.0,0.0,0.0,0.0,0.0
0.0,54.4,0.0,0.0,51.0,0.0,0.0,55.0,50.4,0.0
0.0,0.0,0.0,0.0,0.0,56.1,0.0,0.0,0.0,0.0
56.7,0.0,0.0,0.0,53.7,57.1,52.7,0.0,0.0,0.0
0.0,0.0,57.8,0.0,0.0,58.7,0.0,58.6,0.0,57.9
0.0,0.0,56.0,0.0,0.0,57.9,0.0,55.6,0.0,53.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1,0.0
58.3,57.6,56.7,56.1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3,0.0,0.0
0.0,0.0,0.0,54.2,0.0,0.0,53.9,0.0,53.4,54.5
0.0,53.0,0.0,0.0,54.8,0.0,0.0,55.0,51.9,0.0
54.1,51.5,53.3,52.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,54.7,0.0,0.0,54.6,0.0,54.3,55.5
0.0,0.0,0.0,58.7,0.0,0.0,58.8,0.0,57.3,59.3
0.0,0.0,55.7,0.0,0.0,56.7,0.0,57.2,0.0,56.4
0.0,0.0,55.5,0.0,0.0,55.4,0.0,57.3,0.0,54.7
56.2,0.0,0.0,0.0,52.9,55.4,52.9,0.0,0.0,0.0
57.5,0.0,0.0,0.0,57.3,57.5,55.5,0.0,0.0,0.0
0.0,56.6,0.0,0.0,55.3,0.0,0.0,57.5,54.4,0.0
0.0,56.3,0.0,0.0,53.6,0.0,0.0,56.1,53.9,0.0
0.0,0.0,55.4,0.0,0.0,52.7,0.0,56.4,0.0,50.9
0.0,0.0,56.0,0.0,0.0,56.0,0.0,57.0,0.0,54.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,55.8,0.0,0.0,53.7,0.0,0.0,57.5,52.6,0.0
0.0,54.1,0.0,0.0,46.6,0.0,0.0,53.0,46.8,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3,0.0,0.0
0.0,59.5,0.0,0.0,58.0,0.0,0.0,59.3,57.5,0.0
0.0,0.0,54.3,0.0,0.0,56.1,0.0,55.6,0.0,51.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,52.9,0.0,0.0,0.0,0.0,0.0,52.0
0.0,0.0,0.0,55.0,0.0,0.0,57.0,0.0,54.6,56.1
0.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.8,57.3,54.3,54.4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,55.3,0.0,0.0,53.2,0.0,0.0,53.7,53.6,0.0
0.0,60.8,0.0,0.0,58.4,0.0,0.0,60.4,55.3,0.0
0.0,0.0,58.8,0.0,0.0,55.7,0.0,55.7,0.0,52.9
59.1,0.0,0.0,0.0,55.6,58.3,54.7,0.0,0.0,0.0
57.3,55.2,56.6,54.3,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,57.3,0.0,0.0,55.0,0.0,52.9,56.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,54.8,0.0,53.4,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3
56.4,0.0,0.0,0.0,54.9,57.3,53.7,0.0,0.0,0.0
58.3,57.2,56.2,55.6,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,53.6,0.0,0.0,51.7,0.0,50.1,51.8
54.1,0.0,0.0,0.0,55.1,54.7,54.4,0.0,0.0,0.0
0.0,57.6,0.0,0.0,56.9,0.0,0.0,59.7,54.7,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,56.8,0.0,0.0,52.2,0.0,0.0,55.6,51.8,0.0
57.5,0.0,0.0,0.0,52.0,56.2,54.2,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,49.6,0.0,0.0,0.0
0.0,0.0,57.1,0.0,0.0,56.9,0.0,57.1,0.0,56.5
57.6,0.0,0.0,0.0,54.3,57.0,54.2,0.0,0.0,0.0
0.0,0.0,0.0,49.6,0.0,0.0,51.1,0.0,51.1,52.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9
0.0,0.0,50.9,0.0,0.0,53.6,0.0,52.1,0.0,53.5
0.0,0.0,0.0,55.0,0.0,0.0,51.1,0.0,52.5,54.3
55.4,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,54.6,0.0,0.0,52.2,0.0,53.2,0.0,51.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,56.2,0.0,0.0,54.1,0.0,0.0,56.1,52.8,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2,0.0
0.0,56.5,0.0,0.0,55.4,0.0,0.0,57.6,53.6,0.0
54.7,53.4,54.8,51.5,0.0,0.0,0.0,0.0,0.0,0.0
58.7,0.0,0.0,0.0,56.6,57.8,55.8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,56.3,0.0,0.0,56.1,0.0,57.1,0.0,49.8
0.0,56.5,0.0,0.0,55.3,0.0,0.0,54.7,52.7,0.0
0.0,0.0,0.0,55.5,0.0,0.0,55.4,0.0,54.6,56.6
58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,61.7,0.0,0.0,59.7,0.0,0.0,58.9,56.5,0.0
51.6,0.0,0.0,0.0,50.9,51.4,51.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,56.2,0.0,0.0,0.0
60.0,0.0,0.0,0.0,59.1,59.6,55.9,0.0,0.0,0.0
57.9,56.4,56.4,54.6,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0.0
0.0,55.1,0.0,0.0,50.9,0.0,0.0,56.0,53.7,0.0
0.0,59.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,57.1,0.0,0.0,0.0,0.0
52.8,52.6,53.9,53.3,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.8,56.5,59.3,56.4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,56.8,0.0,0.0,57.3,0.0,57.9,0.0,56.0
0.0,57.7,0.0,0.0,52.6,0.0,0.0,58.3,52.0,0.0
55.1,0.0,0.0,0.0,51.0,53.1,50.4,0.0,0.0,0.0
0.0,0.0,55.5,0.0,0.0,56.8,0.0,56.5,0.0,55.7
0.0,57.1,0.0,0.0,55.9,0.0,0.0,58.1,53.4,0.0
58.2,57.1,55.7,55.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,57.1,0.0,0.0,58.1,0.0,57.9,0.0,56.7
58.2,57.4,57.5,55.4,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,55.0,0.0,0.0,55.4,0.0,54.4,56.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,51.9,0.0,55.6,0.0,0.0
58.5,0.0,0.0,0.0,54.4,55.4,0.0,0.0,0.0,0.0
57.7,0.0,0.0,0.0,55.6,57.1,55.8,0.0,0.0,0.0
0.0,55.6,0.0,0.0,54.3,0.0,0.0,56.3,53.2,0.0
0.0,0.0,0.0,57.2,0.0,0.0,55.2,0.0,57.1,57.3
0.0,56.5,0.0,0.0,53.5,0.0,0.0,56.8,53.8,0.0
0.0,54.8,0.0,0.0,53.3,0.0,0.0,54.9,0.0,0.0
0.0,56.9,0.0,0.0,55.1,0.0,0.0,56.0,54.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0
0.0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.6,53.8,54.9,54.3,0.0,0.0,0.0,0.0,0.0,0.0
53.6,53.0,55.0,53.6,0.0,0.0,0.0,0.0,0.0,0.0
55.7,0.0,0.0,0.0,50.9,54.1,53.7,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1
58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,55.3,0.0,0.0,0.0,0.0,51.4,53.0
0.0,57.0,0.0,0.0,56.1,0.0,0.0,57.1,52.1,0.0
