Seen_rate,Seen_rate WB,Seen_rate WR,Seen_rate WG,Seen_rate UB,Seen_rate UR,Seen_rate UG,Seen_rate BR,Seen_rate BG,Seen_rate RG,Name,Color
0.005049342105263158,0.006973684210526316,0.23570723684210526,0.006200657894736842,0.007351973684210526,0.4283059210526316,0.009572368421052631,0.5769901315789474,0.012483552631578947,0.4608059210526316,Abrade,R
0.0733010530592896,0.08044560322351268,0.06652219551010734,0.06300748315443741,6.772085463718552e-06,0.0,0.0,7.449294010090407e-05,2.7088341854874207e-05,4.7404598246029865e-05,Adamant Will,W
0.0,0.01059394306940075,0.0,8.844078889183692e-05,0.00806074618757028,1.263439841311956e-05,0.0,0.014839100936208922,0.0051674689509658995,3.7903195239358676e-05,Aim for the Head,B
0.0007928642220019821,0.0,0.008325074331020813,0.00046250412950115625,0.0003303600925008259,0.10617773372976544,0.0009250082590023125,0.011892963330029732,0.0,0.009976874793524942,Alchemist's Gambit,UR
0.11141759822618749,0.0,0.0,0.0001121830827911151,0.07582916496192374,0.12694505668545183,0.032183346751309905,2.6396019480262377e-05,2.6396019480262377e-05,9.898507305098391e-05,Alchemist's Retrieval,U
0.001043144454644079,0.0023783693565885005,0.32596177918718183,0.001293499123758658,0.0006258866727864475,0.4525160644246015,0.0009179671200867896,0.7629975799048653,0.0015021280146874738,0.5247851122423434,Alluring Suitor,R
0.0,0.0,0.029976730696145565,0.0,0.0,0.12482748044778408,0.0,0.04313155490955642,0.0,0.03939779841715394,Ancestral Anger,R
0.0,0.005872563005230623,0.0,0.002282453637660485,0.005349500713266762,0.0,0.005135520684736091,0.0046362339514978606,0.2495958155016643,0.006157869709938184,Ancient Lumberknot,BG
0.5628590221442666,0.47366805525104144,0.2776145582109187,0.32348169261126947,0.000394650295987722,0.00035080026310019735,0.000789300591975444,0.000263100197325148,0.00017540013155009868,0.0014032010524007894,Angelic Quartermaster,W
0.0021003500583430573,0.2597432905484247,0.10455075845974329,0.0037339556592765463,0.17152858809801633,0.18856476079346557,0.010035005834305718,2.3047841306884482,0.17036172695449242,0.33605600933488916,"Anje, Maid of Dishonor",BR
5.155550318171105e-05,9.574593448032053e-05,0.0,0.09489895121376385,2.9460287532406317e-05,0.0,0.03876973839264671,3.6825359415507895e-05,0.07617693848691963,0.11746553146358708,Apprentice Sharpshooter,G
0.00010048736371401296,0.06926091543988344,0.0,0.0,0.31274179771893684,0.0,0.00010048736371401296,0.1031251570115058,0.038109832688539416,0.0,Archghoul of Thraben,B
0.06396169799664637,0.05857823669579031,0.07512576118612656,0.07587591562968847,0.0,0.0,0.0,6.619009796134498e-05,0.0,0.00011031682993557497,Arm the Cathars,W
0.0,0.0007716049382716049,0.0,0.3194444444444444,0.0007716049382716049,0.0,0.19197530864197532,0.0,0.262037037037037,0.6791666666666667,Ascendant Packleader,G
0.044984802431610946,0.03404255319148936,0.01641337386018237,1.0054711246200607,0.052279635258358666,0.026747720364741642,0.6820668693009119,0.04559270516717325,0.7045592705167173,1.6674772036474164,Avabruck Caretaker,G
0.0003581341212284,0.0003581341212284,0.2853433610887277,0.00219357149252395,0.00031336735607485005,0.41382397707941626,0.0011191691288387502,0.6514459665144596,0.0034022741516698003,0.665144596651446,Ballista Watcher,R
0.0,0.0002356016963322136,0.07524054173190046,4.560032832236392e-05,0.00016720120384866772,0.06700208241499339,0.0,0.24768578333764002,1.5200109440787973e-05,0.08990104728754048,Belligerent Guest,R
0.16713095831198996,0.0,4.2102013177930126e-05,3.508501098160844e-05,0.0762958648806057,0.09547333188315288,0.045217562153096955,7.017002196321688e-06,0.0,0.0,Binding Geist,U
0.24620366585971643,6.287924041877574e-05,0.00025151696167510296,0.0,0.563995346936209,0.270569371521992,0.09233816455497218,0.0005344735435595938,0.0016034206306787815,0.0,Biolume Egg,U
0.0009895216722916262,0.400473556800311,0.00030039050765995795,0.0007598112840810701,0.43116639867121376,0.0008128213736681215,0.003109925255773682,0.6322690085346244,0.22900358701606205,0.0066262611983814255,Bleed Dry,B
0.00019423278051695802,0.14207380845659645,0.00018676228895861348,0.0005602868668758404,0.11645749290303302,9.711639025847901e-05,0.0014940983116689078,0.23275063499178245,0.08322874645151651,0.002166442551919916,Blood Fountain,B
0.0,0.0001882574420520061,0.08233909871749617,0.0,0.0,0.034262854453465115,0.0,0.3295446523120367,9.412872102600305e-05,0.048193905165313564,Blood Hypnotist,R
2.531453307343746e-05,0.0002531453307343746,0.10794960720282848,4.21908884557291e-05,3.375271076458328e-05,0.11765351154764617,5.906724383802074e-05,0.31821211891080003,0.0,0.12491034436203158,Blood Petal Celebrant,R
0.002670136405120742,0.010020719765175995,0.003447127599220542,0.001720480501220986,0.003767790631706174,0.0031449643570706197,0.0018253126464566735,0.02900150464961397,0.0032004637280777484,0.005691768826619965,Blood Servitor,
9.879293001868084e-05,0.16334961919816066,0.00045803994826842937,3.5924701824974855e-05,0.0739420175312545,8.083057910619342e-05,5.388705273746228e-05,0.36477942233079463,0.054821094984911625,0.0004939646500934042,Bloodcrazed Socialite,B
9.594166746618056e-05,0.05168857334740478,0.0003118104192650868,0.0001199270843327257,0.025136716876139307,0.0,0.00038376666986472224,0.09467044037225367,0.021011225175093542,0.0,Bloodsworn Squire,B
0.0,0.01625399756025189,0.0036596221687382547,0.0,0.005110283208598463,0.003956348290527842,0.0001648478454386601,1.0011539349180707,0.011308562197092083,0.008703966239161254,Bloodtithe Harvester,BR
