,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
63,5e65a3fee5f641e6b177ab86d6507eed,27,17,19,16,11,10,16,16,17,16,18,18,18,40,35,32,35,24,10,34,34,33,35,35,35,35
64,53ac4161794d4c8f91f56f297c347de2,27,18,16,19,8,8,16,18,15,19,18,18,18,37,34,29,33,25,9,33,33,31,33,34,34,34
65,577f061b67894e63b57d5c64c10b579f,27,22,16,22,5,4,20,22,19,22,22,22,22,37,35,28,34,21,5,30,30,30,34,35,35,35
66,09a8fd08446d46618d512ab6ae646fd4,27,16,13,17,13,13,18,16,16,17,17,17,17,39,29,26,28,31,13,28,28,26,28,29,29,29
67,bed1917e46074540b220d49a50863447,28,20,15,20,9,10,16,15,15,20,20,20,20,36,32,26,32,23,11,29,30,26,32,32,32,32
68,90a3ef044c6e4df190f196498a3dc435,32,24,14,25,16,10,23,20,16,25,23,23,23,41,35,27,35,32,10,34,31,29,35,35,35,35
69,228ef41998394128b656dc3062600b2f,26,18,13,18,11,11,19,18,14,18,18,18,18,40,34,29,35,22,12,33,29,29,35,33,34,33
70,ab272202d4234ce1b03bdd8dc13065da,27,16,13,17,18,11,15,14,15,17,15,15,15,37,28,25,29,33,11,27,26,26,29,28,28,28
71,ff9cecdd40884dbda402a08c3c588a28,33,17,10,18,21,7,15,14,12,18,18,17,17,38,34,29,34,33,7,32,31,30,35,34,34,34
72,c27caefbc69d494eab26b71f1d4d8a25,29,15,10,16,20,9,14,11,9,16,15,15,15,36,28,27,27,27,10,27,26,25,28,28,28,28
73,cc9b1bfcf23d47268e62aa2aa611c23d,28,12,15,13,18,9,15,15,15,12,12,12,12,37,28,22,28,32,9,28,27,25,28,29,28,29
74,b17e380ca4bf4a99a834edb38ef3ed53,24,23,13,22,10,6,19,18,15,22,23,23,23,34,32,25,31,22,6,29,28,26,31,32,32,32
75,b99189eb0e79459695b2fb8299cf1e97,30,18,7,19,24,6,17,13,8,20,18,18,18,38,29,25,29,33,6,33,28,25,29,29,29,29
76,d5dd168b556449e3916e503e8cdb3a03,28,22,11,22,12,8,12,16,15,21,22,22,22,41,35,31,35,25,8,34,35,32,35,36,36,36
77,937df90fc12d4c6e8d5ec802a5ce6f52,26,10,11,10,17,8,9,10,11,10,10,10,10,36,30,27,29,29,8,24,27,27,29,30,30,30
78,e7fa7e2c27b54904a1547a4e53cb73d0,26,14,11,13,14,13,14,12,11,13,14,14,14,34,26,27,26,23,14,25,25,27,26,26,26,26
79,6cf9282b8ed045e1b653fdd069380ed1,25,11,9,11,17,10,10,10,10,10,10,11,11,35,29,26,30,24,10,29,26,26,30,29,29,29
80,a4bae2f50f94409eb1a216b577b404b8,35,18,13,17,22,9,11,18,15,16,18,18,18,41,33,30,35,29,10,32,31,31,35,33,33,33
81,3109e39973ef44ffbcb87cc2b5b7f9c3,25,15,13,13,7,10,15,14,12,14,15,15,15,33,29,25,28,18,11,29,26,24,28,29,29,29
82,72e1ec74a10c4ec4a1f06db40581a5b6,23,15,9,15,5,11,14,11,9,16,15,15,15,36,34,28,34,14,11,33,31,29,33,33,33,33
83,4317d9c591e84a2e928dc152fbf91dbe,24,15,12,13,16,9,14,12,14,13,15,15,15,35,29,27,29,26,9,28,29,28,28,29,29,29
84,6a3c5b35a05547189da30c8623eb1c94,21,15,11,15,9,8,14,10,11,15,15,15,15,34,31,27,31,21,8,27,29,27,31,31,31,31
85,c78e2a01b9ae4f6f85e0f45af91fe889,19,10,8,10,10,6,11,8,9,10,10,10,10,33,25,26,26,20,6,27,26,26,26,24,25,25
86,41ea89e0e647471486c711302ebec501,29,14,9,13,19,9,13,11,10,13,14,14,14,36,31,19,30,25,9,26,24,22,28,31,31,31
87,2c467be71d3e48879263d404d6c1f423,25,17,14,17,14,9,20,18,15,17,17,17,17,36,29,28,29,26,9,29,27,27,29,29,29,29
88,52a0db886ea14c02ab26f82e4e953f3d,22,14,16,15,6,9,14,13,14,15,14,14,14,34,29,25,29,21,9,28,26,26,30,29,29,29
89,2230beca2c1a42ffa3d0455c1c86dee5,24,15,11,15,13,8,11,11,12,15,15,15,15,36,31,26,30,22,8,28,26,26,30,30,30,30
90,8cc0efe0d08141459daa35bb966edd24,29,19,14,19,8,7,12,17,14,19,19,19,19,32,29,26,28,20,7,27,28,27,28,29,29,29
91,b51fcd84a0a745ee978936645e15658d,28,15,13,15,18,8,17,13,11,16,15,15,15,38,31,29,32,26,8,31,31,29,32,31,31,31
92,1af89fdd753741a0a32bb71a0d110056,30,22,16,22,9,10,23,20,18,22,22,22,22,40,35,31,37,19,10,35,35,32,37,34,34,34
93,93d7790ada1c4aeeb045127d3cc5a02e,24,19,11,18,14,8,17,16,14,18,18,18,18,32,27,23,27,24,8,25,24,23,27,26,26,26
94,0a8ce92862ac47829643d3ce98aa31ca,26,20,12,18,8,10,17,16,15,18,20,20,20,39,32,27,34,23,11,30,29,27,33,32,32,32
95,5f97c4f4c6a5442294bf69248144c50c,21,18,8,15,5,11,14,11,9,15,18,18,18,33,29,27,29,11,13,27,27,27,30,29,29,29
96,457895346f554a0891097b8845672d50,27,19,10,19,17,10,18,17,14,19,19,19,19,40,32,28,32,34,10,29,32,30,32,32,32,32
