,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
0,aea51b3b64294e07bd00c6f5d1c82991,26,8,11,9,12,6,14,8,8,10,8,8,8,33,13,20,18,14,6,19,15,16,18,13,13,13
1,d4acd0639a54445f803c015e1f7fa55b,27,14,17,7,14,12,11,19,15,7,14,14,14,35,22,30,22,23,12,27,26,29,21,22,22,22
2,d5b64aba6893447b987b29ac081e970d,23,8,13,7,11,10,12,13,10,7,8,8,8,32,17,26,19,16,10,21,21,24,18,17,17,17
3,40f1b91abc764b9eaf423b871ae47a10,25,15,13,9,16,9,11,13,11,9,15,15,15,34,21,26,20,20,11,21,21,25,21,21,21,21
4,eb91bb001aec49caacee7ef7d6c6c2a1,25,8,13,9,10,9,11,19,11,10,8,8,8,39,14,26,27,25,10,18,27,24,27,14,14,14
5,42eb2bfe54504f9e9ab962eb7218f64e,25,11,10,10,14,9,5,13,10,9,11,11,11,36,19,26,20,22,9,14,23,21,20,19,19,19
6,4ba3fa7f94564e9faf55b445558e8040,26,6,14,9,11,10,8,11,11,9,6,6,6,36,15,27,18,17,11,17,19,22,17,15,15,15
7,2f742c47d16741cf97b5a520f9650211,27,15,13,7,5,10,11,13,14,6,15,15,15,32,20,20,13,8,11,15,18,25,13,20,20,20
8,5d8cdae6df1441e89e606420770a16c1,27,8,10,11,5,10,5,9,9,11,8,8,8,37,16,20,25,7,11,18,19,21,23,16,16,16
9,60c0129463c344e98aaccd384dea701e,33,16,17,9,9,9,18,17,16,8,16,16,16,40,25,33,18,11,9,25,26,30,19,25,25,25
10,720c180d3ae344369ecdce7146716e84,28,12,13,11,11,13,8,16,13,10,12,12,12,36,21,29,18,18,15,17,27,26,15,21,21,21
11,15ae0d9539654893a86fa9654c698cc0,22,6,10,3,7,10,13,7,9,3,6,6,6,28,11,16,11,7,10,18,13,15,13,11,11,11
12,166f728b971d498e990b743fdcf071dc,27,12,15,14,17,11,16,13,15,14,12,12,12,37,16,30,24,23,11,20,25,27,21,16,16,16
13,c63cee1f7a7943ae9023dc7a3d65bb42,19,6,8,7,6,11,10,9,6,8,6,6,6,29,9,18,16,9,12,17,15,14,16,10,10,10
14,ddf0296ad9664afebbe1a5ea45d442a1,24,11,13,13,13,8,12,14,12,14,11,11,11,32,14,23,22,17,9,21,22,21,20,14,14,14
15,4646d5091426436d81159130217f1958,21,8,9,5,6,11,9,8,11,6,8,8,8,32,19,19,14,14,11,20,21,23,12,19,19,19
16,a3c9fbfcc0824a9d8f7019e04e044a33,14,5,8,7,4,5,5,6,8,7,5,5,5,29,9,17,19,10,5,13,19,16,20,9,9,9
17,eb9156f0bd354bdfa695f84ad8d97c2e,25,10,15,8,13,7,14,15,14,9,10,10,10,34,17,28,17,19,7,20,23,23,17,17,17,17
18,347a57446bc64d729d8da7db7bc7e68a,28,16,17,16,14,6,16,12,16,17,16,16,16,37,23,23,21,24,7,23,21,22,22,23,23,23
19,5a0a6c173b5d455d9122c056720f07cb,21,10,10,7,12,9,8,11,10,5,10,10,10,30,16,20,20,15,9,17,18,21,19,16,16,16
20,40a7600df224431e9fd071c4658b909c,27,13,14,9,9,8,13,14,13,8,13,13,13,38,20,27,22,12,8,26,25,24,22,20,20,20
21,af2df0a264e54acbb38551acbefc72ed,25,13,11,4,6,7,15,13,13,5,13,13,13,37,26,24,14,7,8,27,23,26,13,26,26,26
22,ac056d1c17bb42dfbc70552d220b12cc,22,11,13,9,7,6,14,13,14,8,11,11,11,34,22,26,18,14,6,19,22,28,17,22,22,22
23,1d4d2163bf9b4e17953acc73ce485996,32,16,18,13,20,5,17,18,18,14,16,16,16,40,23,32,23,29,7,25,26,29,23,23,23,23
24,49fd1bce6ecc4bc6a2d86718c95b10ea,31,14,17,12,21,8,19,19,14,12,14,14,14,36,21,30,25,27,8,27,28,27,22,21,21,21
25,d03800b35afb46d9a40fb3f1524c5b53,26,12,15,9,11,10,14,16,14,9,12,12,12,33,17,24,16,15,10,21,20,21,15,17,17,17
26,adb6ed53516c49f6afa97b9e273d27a6,27,11,16,7,7,12,9,11,14,7,11,11,11,37,22,26,18,8,12,18,18,25,17,22,22,22
27,1aad4a6c0f494adfbcfeab1a33a5332e,21,9,14,9,12,5,15,12,13,7,9,9,9,35,17,27,20,18,5,25,25,27,21,17,17,17
28,ab7e1fea6b7d40d780a4f7a4e192495c,27,10,10,10,14,8,18,10,9,12,10,10,10,33,18,23,21,19,8,19,18,22,21,18,18,18
29,1cf676f39baf4b72920bb7116c1871db,29,12,16,10,6,11,19,17,14,8,12,12,12,36,14,24,23,8,12,19,20,22,20,14,14,14
30,476066ca638a4296b60c856b5c3b6442,26,15,15,12,14,8,9,16,16,14,15,15,15,36,18,25,27,22,8,16,26,26,27,18,18,18
31,6f952873d4804cf58deddd1bd18f37df,22,9,12,7,9,10,7,9,10,7,9,9,9,26,15,21,16,14,10,13,16,19,17,15,15,15
32,c1b96117a34243ab87d1caf4df3ee6b9,23,5,8,5,15,14,4,7,8,7,5,5,5,32,11,22,22,20,14,11,18,20,22,11,11,11
33,5e6986b8c60040d581b9d09603f53623,25,9,10,10,7,10,12,9,11,9,9,9,9,34,15,23,22,11,10,18,17,20,22,15,15,15
34,ba1021f3bf334bfeb93e60b320819a24,24,6,12,6,12,8,8,9,11,7,6,6,6,36,14,24,20,17,9,19,22,23,20,14,14,14
35,fee0d75f83794d6383798110a64f7764,23,6,8,15,4,7,5,4,8,12,6,6,6,30,12,19,19,7,7,15,17,18,16,12,12,12
36,673aafa20cbf4183806ee724605957c3,25,11,13,10,7,9,11,12,14,9,11,11,11,33,20,28,18,15,9,23,24,25,19,20,20,20
37,cad618c98fda480ba06d51ebbcce6770,23,9,14,8,9,4,9,9,11,8,9,9,9,35,18,23,20,18,5,16,20,20,20,18,18,18
38,b269b8d85ee740ed9d4974d059ebf00f,27,13,12,11,12,9,15,15,12,10,13,13,13,40,26,27,19,19,11,30,30,27,19,26,26,26
39,3cee0085f10d4161990d5d79b2452ac3,25,13,13,3,6,9,16,12,11,4,13,13,13,33,20,18,8,8,9,22,22,19,9,20,20,20
40,1e1560bf3241464aaa1131736f4fe141,23,11,14,8,8,6,10,12,12,9,11,11,11,33,15,24,17,12,6,18,20,24,17,15,15,15
41,c95f0320507e4905abc268571409ae40,27,13,17,12,14,9,18,16,17,12,13,13,13,35,18,30,20,22,9,23,26,29,20,18,18,18
42,327481965f0b4056bc1b3414484726b3,21,6,10,9,7,9,7,7,14,9,6,6,6,30,13,20,17,9,9,14,16,23,17,13,13,13
43,cf1b6ded54834ac2ba23a390cec38104,19,9,9,5,7,8,8,8,8,6,9,9,9,30,21,17,9,10,8,20,19,17,11,21,21,21
44,e0242bfd5aad459e997e8af1d05dba4d,26,8,12,8,16,11,11,9,11,8,8,8,8,32,16,22,19,19,12,17,18,22,17,16,16,16
45,00250a4028184369b1e36c609e6a33d2,29,12,15,18,14,13,13,16,15,19,12,12,12,34,22,27,22,20,14,24,23,23,23,22,22,22
46,ace85dddb7684bf3b3175c95e3da221b,26,9,10,12,11,9,10,12,10,11,9,9,9,35,17,25,20,19,10,18,19,22,19,17,17,17
47,eb8276be1b684bc182fa25ca9d9a308c,24,9,13,7,8,10,10,13,13,6,9,9,9,34,18,21,18,12,10,16,20,18,16,18,18,18
48,a1fade3eaab140ffaa00c9a4efc929f9,29,9,16,16,9,11,12,14,16,14,9,9,9,37,19,25,27,19,11,22,24,24,25,19,19,19
49,4c20b40883674ff5aa1d510927669033,24,14,13,8,14,9,14,14,13,8,14,14,14,37,20,27,17,20,9,23,25,24,15,20,20,20
50,c86e74bb29a746c5bb7c2e7508efb130,25,13,14,6,8,11,15,10,14,6,13,13,13,36,23,26,13,12,11,26,24,27,12,23,23,23
51,23d813a19df54aae92a97abbe0c11dfb,27,9,15,14,14,7,14,14,15,13,9,9,9,36,16,22,24,20,8,20,21,22,22,16,16,16
52,d1a30e4545c14fce8138ca875ccf4215,28,6,14,14,5,11,10,14,15,14,6,6,6,34,8,21,27,8,11,12,16,19,26,8,8,8
