,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
43,cf1b6ded54834ac2ba23a390cec38104,25,19,12,18,6,9,20,19,15,17,19,19,19,36,28,26,28,21,9,28,27,24,28,28,28,28
44,e0242bfd5aad459e997e8af1d05dba4d,27,13,6,13,20,9,8,10,8,14,13,13,13,37,30,26,30,30,9,24,29,29,29,30,30,30
45,00250a4028184369b1e36c609e6a33d2,22,13,15,9,9,9,14,14,13,9,13,13,13,35,30,25,31,26,9,28,28,23,30,30,30,30
46,ace85dddb7684bf3b3175c95e3da221b,23,12,11,11,10,10,9,12,11,10,12,12,12,38,29,26,28,26,10,20,26,22,28,29,29,29
47,eb8276be1b684bc182fa25ca9d9a308c,17,9,8,11,8,8,11,10,9,10,9,9,9,31,24,23,23,15,8,22,23,27,23,24,24,24
48,a1fade3eaab140ffaa00c9a4efc929f9,28,14,9,13,9,9,9,19,8,10,14,14,14,37,30,23,29,19,9,19,30,22,27,30,30,30
49,4c20b40883674ff5aa1d510927669033,22,10,7,9,16,5,12,5,5,10,10,10,10,36,29,25,28,29,5,27,23,23,27,29,29,29
50,c86e74bb29a746c5bb7c2e7508efb130,18,15,9,13,6,7,15,13,11,13,15,15,15,30,25,25,24,16,7,25,25,26,26,25,25,25
51,23d813a19df54aae92a97abbe0c11dfb,32,18,10,15,20,8,20,18,12,18,18,18,18,41,32,25,31,34,9,32,30,27,31,32,32,32
52,d1a30e4545c14fce8138ca875ccf4215,26,16,14,15,6,11,8,14,14,14,16,16,16,38,27,28,28,21,12,22,29,29,27,27,27,27
53,c41f46c29d6f4f1f9b60c37ffeaf7364,24,11,11,15,5,11,11,15,11,14,11,11,11,37,31,24,28,20,13,26,30,24,28,31,31,31
54,d063b7827a4d4faa8dd63c3862234a46,20,12,12,11,9,7,9,10,11,12,12,12,12,34,23,25,27,16,8,19,21,23,27,23,23,23
55,4a75e913e4fd4f7d86863dbbdd29c4df,25,8,10,9,16,9,9,6,10,9,8,8,8,32,25,22,18,30,10,18,17,22,19,25,25,25
56,fa45e2f1d8f04a8abe643bac5becdff4,24,15,13,17,5,10,14,11,12,15,15,15,15,39,30,29,30,24,13,28,29,28,28,30,30,30
57,d70a72ef31764c958a89efdba495e27f,29,15,15,16,9,9,18,19,19,17,15,15,15,37,27,24,26,22,10,30,27,27,26,27,27,27
58,671c867ca5294ce793ae0f910fe7359c,28,19,14,16,11,8,20,21,15,15,19,19,19,35,30,27,29,17,8,29,30,29,28,30,30,30
59,57ae31c408d540f7ac1441261c913369,29,21,14,17,7,7,21,17,17,16,21,21,21,37,33,27,32,23,7,31,29,27,32,33,33,33
60,1bb0ede01e914558bb92e22c32332c81,30,17,11,16,16,7,8,17,14,15,17,17,17,42,34,22,33,29,7,27,33,27,32,34,34,34
61,30461d73323942e09e6e1d55a53e83bc,26,11,10,12,8,14,8,6,11,10,11,11,11,36,29,26,25,26,15,24,21,25,25,29,29,29
62,88aa98c617cb40b9a2e3f9f9aaa2bcf1,26,16,8,18,5,10,17,15,9,18,16,16,16,39,32,24,33,14,11,30,28,26,34,32,32,32
63,5e65a3fee5f641e6b177ab86d6507eed,26,9,13,11,10,12,7,15,10,12,9,9,9,37,28,32,29,22,12,23,28,29,27,28,28,28
64,53ac4161794d4c8f91f56f297c347de2,25,11,14,11,7,13,11,15,16,12,11,11,11,38,30,26,29,20,14,31,32,28,29,30,30,30
65,577f061b67894e63b57d5c64c10b579f,28,16,11,11,6,9,13,12,12,11,16,16,16,37,28,23,26,20,9,30,25,25,29,28,28,28
66,09a8fd08446d46618d512ab6ae646fd4,30,12,17,14,6,9,7,22,16,14,12,12,12,35,28,27,28,16,9,18,27,26,29,28,28,28
67,bed1917e46074540b220d49a50863447,23,10,14,11,7,7,16,9,15,11,10,10,10,32,25,26,24,20,8,30,24,27,25,25,25,25
68,90a3ef044c6e4df190f196498a3dc435,27,15,16,18,8,5,17,16,17,16,15,15,15,39,34,30,31,22,5,30,31,30,29,34,34,34
69,228ef41998394128b656dc3062600b2f,28,15,15,14,8,9,9,12,19,12,15,15,15,38,27,22,29,18,9,22,25,25,29,27,27,27
70,ab272202d4234ce1b03bdd8dc13065da,34,17,13,18,22,14,20,11,16,18,17,17,17,41,28,32,26,32,14,33,26,32,26,28,28,28
71,ff9cecdd40884dbda402a08c3c588a28,31,18,16,15,17,7,12,18,16,14,18,18,18,39,33,28,32,28,7,29,34,28,30,33,33,33
72,c27caefbc69d494eab26b71f1d4d8a25,33,14,10,12,24,11,7,6,8,11,14,14,14,40,32,30,26,34,11,24,21,28,26,32,32,32
73,cc9b1bfcf23d47268e62aa2aa611c23d,29,13,14,16,14,6,17,18,16,16,13,13,13,39,25,29,25,26,6,33,32,32,28,25,25,25
74,b17e380ca4bf4a99a834edb38ef3ed53,15,11,10,12,6,6,12,10,11,12,11,11,11,31,24,26,23,16,6,22,22,23,22,24,24,24
75,b99189eb0e79459695b2fb8299cf1e97,32,9,6,7,25,13,19,5,5,9,9,9,9,38,27,24,25,32,13,33,24,22,25,27,27,27
76,d5dd168b556449e3916e503e8cdb3a03,24,16,9,15,11,7,18,9,10,15,16,16,16,39,28,27,28,23,7,34,24,29,28,28,28,28
77,937df90fc12d4c6e8d5ec802a5ce6f52,26,14,11,11,18,7,12,15,12,10,14,14,14,40,34,30,28,30,8,33,32,31,28,34,34,34
78,e7fa7e2c27b54904a1547a4e53cb73d0,27,14,12,11,17,11,19,8,12,10,14,14,14,40,30,29,24,28,13,28,24,28,25,30,30,30
79,6cf9282b8ed045e1b653fdd069380ed1,27,9,9,8,22,10,12,7,8,8,9,9,9,41,30,29,26,33,10,32,24,28,28,30,30,30
80,a4bae2f50f94409eb1a216b577b404b8,27,20,14,17,16,4,12,13,15,18,20,20,20,41,34,26,30,27,6,27,26,28,31,34,34,34
81,3109e39973ef44ffbcb87cc2b5b7f9c3,29,13,13,12,13,10,10,18,10,11,13,13,13,40,27,25,26,24,12,18,33,24,25,27,27,27
82,72e1ec74a10c4ec4a1f06db40581a5b6,21,12,9,9,4,12,8,8,8,8,12,12,12,34,25,25,19,18,12,19,21,21,19,25,25,25
83,4317d9c591e84a2e928dc152fbf91dbe,27,10,12,11,19,8,5,9,11,10,10,10,10,37,29,23,23,28,8,19,20,23,24,29,29,29
84,6a3c5b35a05547189da30c8623eb1c94,27,12,8,9,9,7,16,9,12,9,12,12,12,36,26,25,29,23,7,29,26,25,27,26,26,26
85,c78e2a01b9ae4f6f85e0f45af91fe889,29,14,14,12,15,10,11,12,10,11,14,14,14,38,30,27,28,32,10,28,28,28,28,30,30,30
86,41ea89e0e647471486c711302ebec501,33,9,6,10,17,5,19,6,6,10,9,9,9,40,22,19,22,27,5,30,17,19,23,22,22,22
87,2c467be71d3e48879263d404d6c1f423,25,11,13,9,8,6,15,14,14,11,11,11,11,40,32,23,28,22,6,30,29,24,26,32,32,32
88,52a0db886ea14c02ab26f82e4e953f3d,23,12,10,13,9,10,14,13,14,14,12,12,12,32,22,20,21,20,10,24,23,22,20,22,22,22
89,2230beca2c1a42ffa3d0455c1c86dee5,22,13,10,10,12,8,13,11,8,12,13,13,13,34,21,21,23,19,8,24,21,21,25,21,21,21
90,8cc0efe0d08141459daa35bb966edd24,28,17,11,14,11,11,10,13,12,15,17,17,17,33,26,23,26,23,11,19,23,23,26,26,26,26
91,b51fcd84a0a745ee978936645e15658d,23,12,10,10,17,6,11,12,9,10,12,12,12,30,23,25,24,22,6,23,26,25,23,23,23,23
92,1af89fdd753741a0a32bb71a0d110056,30,14,12,10,9,12,18,11,13,11,14,14,14,40,26,28,28,26,13,30,22,29,27,26,26,26
93,93d7790ada1c4aeeb045127d3cc5a02e,30,16,10,13,18,10,11,13,11,14,16,16,16,34,28,25,26,28,10,25,23,24,26,28,28,28
94,0a8ce92862ac47829643d3ce98aa31ca,28,13,10,13,9,10,18,10,11,13,13,13,13,41,29,27,29,20,11,33,28,24,30,29,29,29
95,5f97c4f4c6a5442294bf69248144c50c,21,13,9,7,6,8,18,7,11,6,13,13,13,31,21,20,18,16,10,25,15,19,22,21,21,21
96,457895346f554a0891097b8845672d50,26,16,9,16,10,10,15,7,11,16,16,16,16,37,30,25,28,22,10,25,24,25,30,30,30,30
