,id,t1_sum,basic_agent_Match,Greedy Agent_Match,dummy_agentrandom_Match,med_agent_Match,arch_receiver_agent_Match,arch_pass_agent_Match,t3_sum,basic_agent_t3_match,Greedy Agent_t3_match,dummy_agentrandom_t3_match,med_agent_t3_match,arch_receiver_agent_t3_match,arch_pass_agent_t3_match
60,1bb0ede01e914558bb92e22c32332c81,31,25,25,12,25,24,23,41,36,36,16,38,35,34
61,30461d73323942e09e6e1d55a53e83bc,31,17,17,12,23,14,14,39,34,34,25,39,33,33
62,88aa98c617cb40b9a2e3f9f9aaa2bcf1,25,18,18,11,16,17,17,41,34,34,24,33,32,33
63,5e65a3fee5f641e6b177ab86d6507eed,29,21,21,6,27,21,21,39,33,33,23,34,33,33
64,53ac4161794d4c8f91f56f297c347de2,25,18,18,13,16,18,18,36,35,35,22,31,35,35
65,577f061b67894e63b57d5c64c10b579f,27,21,21,9,21,19,19,37,33,33,18,30,31,31
66,09a8fd08446d46618d512ab6ae646fd4,28,15,15,17,17,14,14,38,30,30,21,32,29,29
67,bed1917e46074540b220d49a50863447,25,18,18,11,11,16,16,34,29,29,20,25,29,29
68,90a3ef044c6e4df190f196498a3dc435,31,24,24,12,25,23,23,39,37,37,22,36,36,36
69,228ef41998394128b656dc3062600b2f,25,17,17,12,20,17,17,40,33,33,24,33,32,33
70,ab272202d4234ce1b03bdd8dc13065da,21,13,13,12,14,13,13,38,33,33,22,30,33,33
71,ff9cecdd40884dbda402a08c3c588a28,31,22,22,14,21,20,20,39,36,36,17,37,35,35
72,c27caefbc69d494eab26b71f1d4d8a25,26,16,16,8,21,15,15,40,34,34,25,37,33,33
73,cc9b1bfcf23d47268e62aa2aa611c23d,24,19,19,10,15,20,20,37,34,34,20,30,34,33
74,b17e380ca4bf4a99a834edb38ef3ed53,27,24,24,8,18,23,23,38,33,33,21,30,33,33
75,b99189eb0e79459695b2fb8299cf1e97,21,18,18,6,12,18,18,37,35,35,18,31,34,34
76,d5dd168b556449e3916e503e8cdb3a03,23,18,18,7,19,18,18,40,36,36,20,36,35,35
77,937df90fc12d4c6e8d5ec802a5ce6f52,25,21,21,7,17,22,22,42,38,38,20,37,36,36
78,e7fa7e2c27b54904a1547a4e53cb73d0,27,21,21,7,20,21,20,40,33,33,23,39,32,32
79,6cf9282b8ed045e1b653fdd069380ed1,25,17,17,7,20,17,17,41,36,36,18,41,35,35
80,a4bae2f50f94409eb1a216b577b404b8,27,21,21,10,14,21,21,41,40,40,19,36,39,39
81,3109e39973ef44ffbcb87cc2b5b7f9c3,29,23,23,9,21,21,21,40,32,32,25,35,31,31
82,72e1ec74a10c4ec4a1f06db40581a5b6,28,23,23,8,20,22,23,41,38,38,20,35,36,36
83,4317d9c591e84a2e928dc152fbf91dbe,26,19,19,11,14,19,19,38,33,33,25,25,33,33
84,6a3c5b35a05547189da30c8623eb1c94,31,21,21,9,27,21,21,42,37,37,24,37,36,36
85,c78e2a01b9ae4f6f85e0f45af91fe889,33,20,20,13,26,20,20,37,34,34,19,37,34,34
86,41ea89e0e647471486c711302ebec501,20,19,19,5,11,18,18,33,31,31,18,22,30,30
87,2c467be71d3e48879263d404d6c1f423,25,14,14,12,18,13,13,38,30,30,22,33,29,28
88,52a0db886ea14c02ab26f82e4e953f3d,17,9,9,10,10,9,9,35,28,28,24,28,27,27
89,2230beca2c1a42ffa3d0455c1c86dee5,21,16,16,9,9,16,16,32,27,27,21,23,27,28
90,8cc0efe0d08141459daa35bb966edd24,23,12,12,10,19,11,11,37,26,26,29,29,26,26
91,b51fcd84a0a745ee978936645e15658d,28,23,23,11,18,23,23,39,36,36,21,30,36,36
92,1af89fdd753741a0a32bb71a0d110056,22,18,18,15,15,17,17,40,33,33,27,37,31,31
93,93d7790ada1c4aeeb045127d3cc5a02e,24,22,22,12,15,22,22,36,33,33,23,26,32,32
94,0a8ce92862ac47829643d3ce98aa31ca,23,18,18,9,18,17,17,37,33,33,19,31,32,32
95,5f97c4f4c6a5442294bf69248144c50c,17,12,12,7,13,11,11,32,24,24,20,19,22,22
96,457895346f554a0891097b8845672d50,21,19,19,8,17,19,19,39,33,33,24,32,33,33
