,id,t1_sum,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match,t3_sum,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
62,88aa98c617cb40b9a2e3f9f9aaa2bcf1,24,16,16,16,8,7,14,13,15,16,16,16,16,38,32,29,34,15,7,31,30,29,34,32,32,32
63,5e65a3fee5f641e6b177ab86d6507eed,29,15,22,19,11,10,8,16,17,19,15,15,15,40,32,33,35,15,11,23,31,33,35,32,32,32
64,53ac4161794d4c8f91f56f297c347de2,26,17,18,19,6,8,15,16,16,18,17,17,17,37,33,29,32,18,9,31,32,31,33,33,33,33
65,577f061b67894e63b57d5c64c10b579f,22,17,13,15,4,8,7,16,11,15,17,17,17,38,29,30,29,14,8,17,28,23,29,29,29,29
66,09a8fd08446d46618d512ab6ae646fd4,30,17,15,18,10,10,13,22,15,18,17,17,17,40,30,27,30,22,10,26,31,29,30,30,30,30
67,bed1917e46074540b220d49a50863447,30,19,15,17,7,11,17,11,14,16,19,19,19,36,31,31,30,16,12,30,29,30,30,31,31,31
68,90a3ef044c6e4df190f196498a3dc435,33,18,16,22,15,10,26,18,18,22,18,18,18,39,35,32,33,27,10,38,36,33,33,35,35,35
69,228ef41998394128b656dc3062600b2f,32,20,16,19,9,12,18,18,15,20,20,20,20,38,31,31,32,18,13,35,31,27,32,31,31,31
70,ab272202d4234ce1b03bdd8dc13065da,34,14,15,15,25,11,16,15,16,15,14,14,14,38,26,28,28,31,11,29,29,30,28,26,26,26
71,ff9cecdd40884dbda402a08c3c588a28,33,15,13,16,21,7,13,17,13,16,15,15,15,39,32,30,34,32,7,33,32,30,31,32,32,32
72,c27caefbc69d494eab26b71f1d4d8a25,29,9,14,11,21,10,8,8,13,11,9,9,9,37,23,26,22,25,10,23,22,28,22,23,23,23
73,cc9b1bfcf23d47268e62aa2aa611c23d,32,17,18,18,17,10,22,15,15,18,17,17,17,39,29,25,26,29,10,32,23,25,26,29,29,29
74,b17e380ca4bf4a99a834edb38ef3ed53,29,21,17,19,7,10,19,17,18,19,21,21,21,35,31,29,30,14,10,31,31,28,30,31,31,31
75,b99189eb0e79459695b2fb8299cf1e97,31,9,9,7,26,9,5,19,8,6,9,9,9,38,28,30,26,30,9,23,35,30,25,28,28,28
76,d5dd168b556449e3916e503e8cdb3a03,33,16,14,19,12,6,13,24,15,18,16,16,16,40,31,31,34,21,6,30,34,29,34,31,31,31
77,937df90fc12d4c6e8d5ec802a5ce6f52,27,11,10,11,15,13,7,16,9,10,11,11,11,39,26,27,27,25,13,15,24,25,26,26,26,26
78,e7fa7e2c27b54904a1547a4e53cb73d0,27,10,10,12,17,7,8,15,12,12,10,10,10,33,23,25,24,19,9,22,24,24,24,23,23,23
79,6cf9282b8ed045e1b653fdd069380ed1,25,8,11,9,16,9,12,7,10,9,8,8,8,35,24,30,23,17,10,23,26,30,24,24,24,24
80,a4bae2f50f94409eb1a216b577b404b8,33,18,16,16,19,8,9,22,18,16,18,18,18,41,31,34,31,27,10,29,34,32,32,31,31,31
81,3109e39973ef44ffbcb87cc2b5b7f9c3,27,9,12,10,6,10,11,19,11,11,9,9,9,35,22,25,22,11,11,21,28,23,22,22,22,22
82,72e1ec74a10c4ec4a1f06db40581a5b6,22,14,7,12,3,12,10,8,6,12,14,14,14,35,29,29,28,7,12,27,27,27,28,29,29,29
83,4317d9c591e84a2e928dc152fbf91dbe,24,11,11,10,16,11,7,7,10,10,11,11,11,35,22,25,21,19,11,19,19,25,21,22,22,22
84,6a3c5b35a05547189da30c8623eb1c94,23,12,13,12,9,11,10,9,12,12,12,12,12,34,25,28,28,14,11,30,28,29,29,25,25,25
85,c78e2a01b9ae4f6f85e0f45af91fe889,23,11,14,10,9,12,8,12,13,10,11,11,11,37,24,27,26,15,12,28,20,27,23,24,24,24
86,41ea89e0e647471486c711302ebec501,25,10,9,7,19,10,10,6,8,7,10,10,10,37,25,26,25,22,10,22,17,24,26,25,25,25
87,2c467be71d3e48879263d404d6c1f423,28,15,17,16,10,11,17,15,16,15,15,15,15,39,33,31,32,23,11,32,33,32,32,33,33,33
88,52a0db886ea14c02ab26f82e4e953f3d,27,8,15,12,8,11,15,13,16,10,8,8,8,35,22,28,22,17,11,28,26,28,22,22,22,22
89,2230beca2c1a42ffa3d0455c1c86dee5,29,17,13,13,13,10,15,12,11,14,17,17,17,39,26,26,29,19,10,28,26,24,28,26,26,26
90,8cc0efe0d08141459daa35bb966edd24,23,9,13,10,8,10,10,12,12,9,9,9,9,31,24,27,25,15,10,22,18,23,25,24,24,24
91,b51fcd84a0a745ee978936645e15658d,28,13,18,11,17,11,15,15,16,11,13,13,13,38,29,30,25,21,11,28,31,29,26,29,29,29
92,1af89fdd753741a0a32bb71a0d110056,28,15,16,15,7,9,22,15,17,14,15,15,15,39,27,29,29,13,11,36,28,32,29,27,27,27
93,93d7790ada1c4aeeb045127d3cc5a02e,23,12,14,12,14,7,11,10,14,12,12,12,12,32,25,22,22,19,7,24,22,21,23,25,25,25
94,0a8ce92862ac47829643d3ce98aa31ca,31,16,12,17,5,12,22,9,14,18,16,16,16,38,28,28,27,15,13,33,26,27,28,28,28,28
95,5f97c4f4c6a5442294bf69248144c50c,26,12,9,11,4,13,14,17,10,9,12,12,12,37,24,19,20,5,15,26,27,19,20,24,24,24
96,457895346f554a0891097b8845672d50,36,22,13,23,18,8,16,16,15,23,22,22,22,39,36,33,36,35,9,33,36,34,36,36,36,36
