,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
13,6,6,6,6,6,6,6,6,6,6,6,6,6,True,True,True,True,True,True,True,True,True,True,True,True
14,142,28,242,142,143,4,28,28,242,142,142,142,204,False,False,False,False,False,False,False,False,False,False,False,False
15,84,53,112,94,212,112,84,53,112,84,84,84,112,False,False,True,False,False,True,False,False,True,False,False,False
16,67,65,67,120,228,232,129,65,168,67,67,67,65,False,True,False,False,False,False,False,True,False,False,False,False
17,260,220,52,52,151,46,28,220,52,260,260,260,46,False,False,False,False,False,True,False,False,False,False,False,False
18,105,95,105,86,222,4,95,95,105,105,105,105,151,False,False,False,False,False,False,False,False,False,False,False,False
19,203,107,107,12,107,203,28,107,107,203,203,203,146,False,False,False,False,False,False,False,False,False,False,False,False
20,24,24,24,182,32,206,188,24,24,24,24,24,24,True,True,True,False,False,False,False,True,True,True,True,True
21,84,2,84,242,158,191,84,2,84,84,84,84,191,False,False,False,False,False,True,False,False,False,False,False,False
22,142,28,28,142,242,4,28,28,28,142,142,142,4,False,False,False,False,False,True,False,False,False,False,False,False
23,84,53,84,184,212,53,84,53,84,84,84,84,184,False,False,False,True,False,False,False,False,False,False,False,False
24,243,243,243,228,243,243,163,243,243,243,243,243,123,False,False,False,False,False,False,False,False,False,False,False,False
25,28,28,28,28,221,28,28,28,28,28,28,28,221,False,False,False,False,True,False,False,False,False,False,False,False
26,105,105,105,105,262,105,105,105,105,105,105,105,262,False,False,False,False,True,False,False,False,False,False,False,False
27,91,91,91,91,91,91,91,91,91,91,91,91,91,True,True,True,True,True,True,True,True,True,True,True,True
28,79,67,79,165,173,79,188,67,79,79,79,79,79,True,False,True,False,False,True,False,False,True,True,True,True
29,107,107,107,80,195,271,28,107,107,107,107,107,195,False,False,False,False,True,False,False,False,False,False,False,False
30,248,248,248,157,208,146,248,103,248,248,248,248,46,False,False,False,False,False,False,False,False,False,False,False,False
31,69,52,52,165,46,69,89,52,52,69,69,69,69,True,False,False,False,False,True,False,False,False,True,True,True
32,67,220,67,120,271,271,271,67,67,67,67,67,67,True,False,True,False,False,False,False,True,True,True,True,True
33,24,24,24,157,24,56,143,24,24,24,24,24,56,False,False,False,False,False,True,False,False,False,False,False,False
34,107,107,107,167,77,77,92,107,107,107,107,107,107,True,True,True,False,False,False,False,True,True,True,True,True
35,203,203,203,203,23,203,92,158,203,203,203,203,191,False,False,False,False,False,False,False,False,False,False,False,False
36,188,188,188,173,253,188,188,199,188,188,188,188,173,False,False,False,True,False,False,False,False,False,False,False,False
37,271,271,271,199,199,271,28,271,28,271,271,271,271,True,True,True,False,False,True,False,True,False,True,True,True
38,84,129,84,84,198,84,84,198,84,84,84,84,84,True,False,True,True,False,True,True,False,True,True,True,True
39,52,52,52,52,92,222,92,52,52,52,52,52,52,True,True,True,True,False,False,False,True,True,True,True,True
40,105,105,105,105,4,4,4,105,105,105,105,105,4,False,False,False,False,True,True,True,False,False,False,False,False
41,187,187,187,187,187,187,187,187,187,187,187,187,187,True,True,True,True,True,True,True,True,True,True,True,True
0,127,238,127,238,222,238,238,238,127,127,127,127,127,True,False,True,False,False,False,False,False,True,True,True,True
1,93,2,267,244,146,2,2,2,267,93,93,93,93,True,False,False,False,False,False,False,False,False,True,True,True
2,238,238,238,238,238,238,238,238,238,238,238,238,168,False,False,False,False,False,False,False,False,False,False,False,False
3,24,24,24,157,20,24,24,24,24,24,24,24,260,False,False,False,False,False,False,False,False,False,False,False,False
4,105,188,105,167,257,188,188,188,105,105,105,105,221,False,False,False,False,False,False,False,False,False,False,False,False
5,271,271,96,246,262,22,271,271,163,271,271,271,96,False,False,True,False,False,False,False,False,False,False,False,False
6,198,181,242,86,181,149,181,181,242,198,198,198,198,True,False,False,False,False,False,False,False,False,True,True,True
7,231,187,244,244,231,231,187,187,244,231,231,231,72,False,False,False,False,False,False,False,False,False,False,False,False
8,161,161,161,150,222,149,161,161,161,161,161,161,150,False,False,False,True,False,False,False,False,False,False,False,False
9,146,146,146,244,257,146,146,146,146,146,146,146,60,False,False,False,False,False,False,False,False,False,False,False,False
10,101,101,101,101,77,101,101,101,101,101,101,101,87,False,False,False,False,False,False,False,False,False,False,False,False
11,163,163,163,222,62,62,163,163,163,163,163,163,163,True,True,True,False,False,False,True,True,True,True,True,True
12,257,165,257,165,257,257,165,165,257,257,257,257,257,True,False,True,False,True,True,False,False,True,True,True,True
13,163,163,163,163,163,163,163,163,163,163,163,163,163,True,True,True,True,True,True,True,True,True,True,True,True
14,193,107,193,167,268,95,107,107,193,193,193,193,118,False,False,False,False,False,False,False,False,False,False,False,False
15,161,28,160,142,28,28,105,28,160,161,161,161,48,False,False,False,False,False,False,False,False,False,False,False,False
16,52,271,271,167,25,154,52,271,271,52,52,52,25,False,False,False,False,True,False,False,False,False,False,False,False
17,19,19,19,94,186,140,19,19,19,19,19,19,19,True,True,True,False,False,False,True,True,True,True,True,True
18,73,73,73,1,1,146,158,73,73,73,73,73,73,True,True,True,False,False,False,False,True,True,True,True,True
19,203,203,203,165,165,89,212,203,203,203,203,203,212,False,False,False,False,False,False,True,False,False,False,False,False
20,161,220,161,94,140,140,94,220,161,161,161,161,220,False,True,False,False,False,False,False,True,False,False,False,False
21,67,67,67,244,105,229,67,67,67,67,67,67,72,False,False,False,False,False,False,False,False,False,False,False,False
22,107,107,107,167,267,149,107,107,107,107,107,107,107,True,True,True,False,False,False,True,True,True,True,True,True
23,161,28,161,244,157,28,244,28,161,161,161,161,161,True,False,True,False,False,False,False,False,True,True,True,True
24,167,271,271,167,167,271,271,271,271,167,167,167,60,False,False,False,False,False,False,False,False,False,False,False,False
25,77,77,77,77,259,140,77,77,77,77,77,77,77,True,True,True,True,False,False,True,True,True,True,True,True
26,146,146,218,146,218,146,146,146,218,146,146,146,218,False,False,True,False,True,False,False,False,True,False,False,False
27,206,206,206,206,206,206,206,206,206,206,206,206,206,True,True,True,True,True,True,True,True,True,True,True,True
28,174,67,193,120,193,62,193,67,193,174,174,174,97,False,False,False,False,False,False,False,False,False,False,False,False
29,18,238,238,238,61,0,118,238,238,18,18,18,118,False,False,False,False,False,False,True,False,False,False,False,False
30,231,119,231,209,231,129,72,209,231,231,231,231,269,False,False,False,False,False,False,False,False,False,False,False,False
31,203,15,203,167,195,84,242,167,203,203,203,203,195,False,False,False,False,True,False,False,False,False,False,False,False
32,67,67,67,228,67,89,67,228,67,67,67,67,67,True,True,True,False,True,False,True,False,True,True,True,True
33,268,268,268,244,144,253,244,244,268,268,268,268,144,False,False,False,False,True,False,False,False,False,False,False,False
34,146,146,146,146,200,229,146,146,229,146,146,146,221,False,False,False,False,False,False,False,False,False,False,False,False
35,107,107,107,107,191,191,107,107,107,107,107,107,60,False,False,False,False,False,False,False,False,False,False,False,False
36,156,146,146,146,214,62,212,156,146,156,156,156,156,True,False,False,False,False,False,False,True,False,True,True,True
37,231,231,231,167,208,231,231,167,231,231,231,231,208,False,False,False,False,True,False,False,False,False,False,False,False
38,231,231,231,231,231,129,231,231,231,231,231,231,236,False,False,False,False,False,False,False,False,False,False,False,False
39,30,28,30,28,91,28,30,30,30,30,30,30,30,True,False,True,False,False,False,True,True,True,True,True,True
40,143,143,143,143,143,143,143,143,143,143,143,143,185,False,False,False,False,False,False,False,False,False,False,False,False
41,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
0,0,247,0,201,47,247,247,247,0,0,0,0,201,False,False,False,True,False,False,False,False,False,False,False,False
1,124,124,167,167,123,124,124,124,167,124,124,124,173,False,False,False,False,False,False,False,False,False,False,False,False
2,209,209,168,209,259,209,209,209,168,209,209,209,209,True,True,False,True,False,True,True,True,False,True,True,True
3,8,142,129,8,156,142,142,142,156,8,8,8,8,True,False,False,True,False,False,False,False,False,True,True,True
4,1,2,1,1,262,2,2,2,1,1,1,1,12,False,False,False,False,False,False,False,False,False,False,False,False
5,209,271,271,209,30,271,271,271,271,209,209,209,209,True,False,False,True,False,False,False,False,False,True,True,True
6,67,67,67,244,35,67,67,67,67,67,67,67,67,True,True,True,False,False,True,True,True,True,True,True,True
7,243,28,243,165,165,243,28,28,184,243,243,243,103,False,False,False,False,False,False,False,False,False,False,False,False
8,247,247,214,245,30,247,247,247,214,247,247,247,245,False,False,False,True,False,False,False,False,False,False,False,False
9,167,165,4,167,165,4,165,165,167,167,167,167,167,True,False,False,True,False,False,False,False,True,True,True,True
10,4,4,10,86,10,4,4,4,10,4,4,4,86,False,False,False,True,False,False,False,False,False,False,False,False
11,156,156,156,167,222,156,156,156,156,156,156,156,167,False,False,False,True,False,False,False,False,False,False,False,False
12,2,2,2,2,262,2,2,2,2,2,2,2,2,True,True,True,True,False,True,True,True,True,True,True,True
13,206,206,206,206,206,206,206,206,206,206,206,206,206,True,True,True,True,True,True,True,True,True,True,True,True
14,0,133,133,209,133,72,133,133,133,0,0,0,209,False,False,False,True,False,False,False,False,False,False,False,False
15,24,128,128,178,176,24,128,128,128,24,24,24,128,False,True,True,False,False,False,True,True,True,False,False,False
16,271,271,242,120,208,242,271,271,242,271,271,271,12,False,False,False,False,False,False,False,False,False,False,False,False
17,24,271,24,120,52,24,271,271,24,24,24,24,120,False,False,False,True,False,False,False,False,False,False,False,False
18,67,67,67,182,185,67,257,67,67,67,67,67,182,False,False,False,True,False,False,False,False,False,False,False,False
19,24,24,24,120,129,24,53,24,24,24,24,24,53,False,False,False,False,False,False,True,False,False,False,False,False
20,215,215,215,181,35,181,191,215,191,215,215,215,191,False,False,False,False,False,False,True,False,True,False,False,False
21,231,231,231,182,231,20,231,231,231,231,231,231,231,True,True,True,False,True,False,True,True,True,True,True,True
22,124,124,124,217,185,217,217,124,124,124,124,124,222,False,False,False,False,False,False,False,False,False,False,False,False
23,30,30,30,4,4,30,4,30,30,30,30,30,4,False,False,False,True,True,False,True,False,False,False,False,False
24,271,271,271,271,23,271,271,271,271,271,271,271,271,True,True,True,True,False,True,True,True,True,True,True,True
25,271,271,271,181,181,181,271,271,181,271,271,271,271,True,True,True,False,False,False,True,True,False,True,True,True
26,257,257,257,257,257,257,257,257,257,257,257,257,257,True,True,True,True,True,True,True,True,True,True,True,True
27,208,208,208,208,208,208,208,208,208,208,208,208,208,True,True,True,True,True,True,True,True,True,True,True,True
28,223,271,223,192,165,20,271,271,223,223,223,223,192,False,False,False,True,False,False,False,False,False,False,False,False
29,0,260,260,157,62,11,205,260,260,0,0,0,135,False,False,False,False,False,False,False,False,False,False,False,False
30,84,53,84,209,11,11,53,221,84,84,84,84,86,False,False,False,False,False,False,False,False,False,False,False,False
31,161,33,161,110,33,109,77,161,161,161,161,161,33,False,True,False,False,True,False,False,False,False,False,False,False
32,247,119,247,119,60,247,91,30,247,247,247,247,119,False,True,False,True,False,False,False,False,False,False,False,False
33,18,18,18,157,56,18,18,18,18,18,18,18,56,False,False,False,False,True,False,False,False,False,False,False,False
34,203,203,203,203,23,203,203,198,203,203,203,203,203,True,True,True,True,False,True,True,False,True,True,True,True
35,239,239,239,239,97,195,239,97,239,239,239,239,239,True,True,True,True,False,False,True,False,True,True,True,True
36,124,271,124,165,124,271,271,124,124,124,124,124,271,False,True,False,False,False,True,True,False,False,False,False,False
37,30,30,30,157,157,30,205,30,30,30,30,30,157,False,False,False,True,True,False,False,False,False,False,False,False
