,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
19,[120 224  91],[ 46 247 268],[120 224  91],[ 92  93 271],[ 90 271  91],[224 120  91],[268 224  91],[ 46 247 268],[268 224  91],[120 224  91],[120 224  91],[120 224  91],120,True,False,True,False,False,True,False,False,False,True,True,True
20,[181   1 157],[ 52 220  23],[ 52   1 157],[ 92  93 271],[90 91 52],[181   1 157],[181   1 157],[ 52 220  23],[ 52   1 157],[181   1 157],[181   1 157],[181   1 157],157,True,False,True,False,False,True,True,False,True,True,True,True
21,[119  77 246],[156 119  28],[ 77 119 246],[ 91  92 119],[ 90  91 253],[119  77 246],[119  77 246],[156 119  28],[ 77 119 246],[119  77 246],[119  77 246],[119  77 246],119,True,True,True,True,False,True,True,True,True,True,True,True
22,[ 75 228 199],[262 208  75],[228  75 199],[ 91  92 271],[ 92 271  75],[ 75 228 199],[228  75 199],[262 208  75],[228  75 199],[ 75 228 199],[ 75 228 199],[ 75 228 199],228,True,False,True,False,False,True,True,False,True,True,True,True
23,[253 222  24],[253  24  89],[253 222  24],[ 91 271  89],[91 92 24],[253 222  24],[253 222  24],[253  24  89],[253 222  24],[253 222  24],[253 222  24],[253 222  24],222,True,False,True,False,False,True,True,False,True,True,True,True
24,[42 32 44],[ 93 236 271],[42 32 44],[ 93  94 271],[ 90  91 236],[42 32 44],[42 32 44],[ 93 236 271],[42 32 44],[42 32 44],[42 32 44],[42 32 44],32,True,False,True,False,False,True,True,False,True,True,True,True
25,[215 206  84],[ 90  91 206],[215 206  84],[ 91  92 271],[90 91 84],[215 206  84],[215 206  84],[ 90  91 206],[215 206  84],[215 206  84],[215 206  84],[215 206  84],206,True,True,True,False,False,True,True,True,True,True,True,True
26,[271  57 259],[ 91 271  57],[271  57 259],[ 91  92 271],[271  90 259],[271  57 259],[271  57 259],[ 91 271  57],[271  57 259],[271  57 259],[271  57 259],[271  57 259],259,True,False,True,False,True,True,True,False,True,True,True,True
27,[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],247,True,True,True,True,True,True,True,True,True,True,True,True
28,[170 244 212],[212   0 170],[181 244 212],[95 96  0],[271  90 208],[ 96   4 244],[  4 212 170],[212   0 170],[181 244 212],[170 244 212],[170 244 212],[170 244 212],96,False,False,False,True,False,True,False,False,False,False,False,False
