,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
16,[ 52 231 241],[ 77 215  68],[259 241  16],[231 182  68],[90 91 68],[ 52 231 241],[231  52 241],[ 77 215  68],[241 259  16],[ 52 231 241],[ 52 231 241],[ 52 231 241],241,True,False,True,False,False,True,True,False,True,True,True,True
17,[158 140 184],[184  77 220],[158 140 184],[184 140  32],[ 90  91 191],[158 140 184],[158 140 184],[184  77 220],[158 140 184],[158 140 184],[158 140 184],[158 140 184],240,False,False,False,False,False,False,False,False,False,False,False,False
18,[149 242 188],[149 188 242],[ 65 188 242],[145 246 182],[ 92  65 271],[242 149 188],[149 188 242],[149 188 242],[188  65 242],[149 242 188],[149 242 188],[149 242 188],188,True,True,True,False,False,True,True,True,True,True,True,True
19,[220  62  92],[269  62 220],[ 62 220  92],[ 92  62 244],[ 91  90 269],[220  62  92],[220  62  92],[269  62 220],[244  62  92],[220  62  92],[220  62  92],[220  62  92],269,False,True,False,False,True,False,False,True,False,False,False,False
20,[187 188 143],[215 143 188],[188 143 215],[187 143 228],[ 90  91 187],[187 188 143],[187 188 143],[215 143 188],[188 143 215],[187 188 143],[187 188 143],[187 188 143],63,False,False,False,False,False,False,False,False,False,False,False,False
21,[271  89 229],[ 89 222 271],[196  89 229],[ 89 229 222],[ 90  91 271],[271  89 229],[271  89 229],[ 89 222 271],[196  89 229],[271  89 229],[271  89 229],[271  89 229],196,False,False,True,False,False,False,False,False,True,False,False,False
22,[221 243 258],[ 60 258 221],[258 221 243],[199 243 258],[ 89  90 219],[221 243 258],[221 243 258],[ 60 258 221],[258 221 243],[221 243 258],[221 243 258],[221 243 258],221,True,True,True,False,False,True,True,True,True,True,True,True
23,[198 202 267],[202 267  30],[198 202 267],[ 90  91 271],[ 91  92 198],[198 202 267],[198 202 267],[202 267  30],[198 202 267],[198 202 267],[198 202 267],[198 202 267],87,False,False,False,False,False,False,False,False,False,False,False,False
24,[ 57  77 259],[ 57 259  77],[ 57 259  77],[ 92 259  77],[271  90 259],[ 57  77 259],[ 57  77 259],[ 57 259  77],[ 57 259  77],[ 57  77 259],[ 57  77 259],[ 57  77 259],259,True,True,True,True,True,True,True,True,True,True,True,True
25,[243  77 184],[243 184  77],[243  77 184],[243 184  77],[271  90 184],[243  77 184],[243  77 184],[243 184  77],[ 77 243 184],[243  77 184],[243  77 184],[243  77 184],184,True,True,True,True,True,True,True,True,True,True,True,True
