,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
12,[ 92 165  62],[ 92 165  62],[ 92 165  62],[ 92 165  62],[91 92 62],[ 92 165  62],[ 92 165  62],[ 92 165  62],[ 92 165  62],[ 92 165  62],[ 92 165  62],[ 92 165  62],165,True,True,True,True,False,True,True,True,True,True,True,True
13,[ 90 271  20],[ 90 271  20],[ 90 271  20],[ 90 271  20],[ 90 271  20],[ 90 271  20],[ 90 271  20],[ 90 271  20],[ 90 271  20],[ 90 271  20],[ 90 271  20],[ 90 271  20],20,True,True,True,True,True,True,True,True,True,True,True,True
14,[192 269  94],[269 192  66],[192 269  94],[178 192  94],[ 91  92 247],[192  94 269],[269 192  66],[269 192  66],[192 269  94],[192 269  94],[192 269  94],[192 269  94],66,False,True,False,False,False,False,True,True,False,False,False,False
15,[142  95 174],[ 95  36 174],[ 36  95 174],[ 95 142 174],[ 92 271  75],[ 36  95 174],[ 36  95 174],[ 95  36 174],[142  95 174],[142  95 174],[142  95 174],[142  95 174],174,True,True,True,True,False,True,True,True,True,True,True,True
16,[111 142 239],[142 111 239],[111 142 239],[111 142 239],[ 90  91 111],[111 142 239],[111 142 239],[142 111 239],[111 142 239],[111 142 239],[111 142 239],[111 142 239],257,False,False,False,False,False,False,False,False,False,False,False,False
17,[145  80 189],[145 189 256],[145  80 189],[ 46 145  80],[271  91 158],[145  80 189],[145  80 189],[145 189 256],[145  80 189],[145  80 189],[145  80 189],[145  80 189],243,False,False,False,False,False,False,False,False,False,False,False,False
18,[110 231 270],[110 187 270],[187 231 270],[  1 167 110],[ 90  91 187],[187 231 270],[187 231 270],[110 187 270],[231 187 270],[110 231 270],[110 231 270],[110 231 270],187,False,True,True,False,True,True,True,True,True,False,False,False
19,[17 94 67],[200  94  67],[17 94 67],[246  94  67],[ 92 271 143],[17 94 67],[17 94 67],[200  94  67],[17 94 67],[17 94 67],[17 94 67],[17 94 67],17,True,False,True,False,False,True,True,False,True,True,True,True
20,[ 92  56 238],[ 92  56 238],[ 92  56 238],[ 92  56 238],[ 91  92 238],[ 92  56 238],[ 92  56 238],[ 92  56 238],[ 92  56 238],[ 92  56 238],[ 92  56 238],[ 92  56 238],56,True,True,True,True,False,True,True,True,True,True,True,True
21,[107 105 220],[ 60 105 220],[107 105 220],[232 107 105],[ 89  90 220],[107 105 220],[107 105 220],[ 60 105 220],[107 105 220],[107 105 220],[107 105 220],[107 105 220],232,False,False,False,True,False,False,False,False,False,False,False,False
