,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
13,6,6,6,6,6,6,6,6,6,6,6,6,6,True,True,True,True,True,True,True,True,True,True,True,True
14,140,47,242,47,186,4,47,47,242,140,140,140,204,False,False,False,False,False,False,False,False,False,False,False,False
15,95,17,17,94,126,17,94,17,17,95,95,95,112,False,False,False,False,False,False,False,False,False,False,False,False
16,67,62,129,120,163,232,120,62,129,67,67,67,65,False,False,False,False,False,False,False,False,False,False,False,False
17,220,6,52,52,151,46,52,6,52,220,220,220,46,False,False,False,False,False,True,False,False,False,False,False,False
18,95,95,4,86,97,4,86,95,4,95,95,95,151,False,False,False,False,False,False,False,False,False,False,False,False
19,203,12,107,12,170,203,12,12,107,203,203,203,146,False,False,False,False,False,False,False,False,False,False,False,False
20,24,24,92,182,82,206,182,24,92,24,24,24,24,True,True,False,False,False,False,False,True,False,True,True,True
21,103,2,103,91,84,191,103,2,103,103,103,103,191,False,False,False,False,False,True,False,False,False,False,False,False
22,142,142,28,142,4,4,142,142,28,142,142,142,4,False,False,False,False,True,True,False,False,False,False,False,False
23,184,53,129,53,53,53,184,53,129,184,184,184,184,True,False,False,False,False,False,True,False,False,True,True,True
24,243,163,243,228,163,243,228,163,243,243,243,243,123,False,False,False,False,False,False,False,False,False,False,False,False
25,221,221,28,28,16,28,28,221,28,221,221,221,221,True,True,False,False,False,False,False,True,False,True,True,True
26,105,105,105,105,105,105,105,105,105,105,105,105,262,False,False,False,False,False,False,False,False,False,False,False,False
27,91,91,91,91,91,91,91,91,91,91,91,91,91,True,True,True,True,True,True,True,True,True,True,True,True
28,79,67,143,165,228,79,165,67,143,79,79,79,79,True,False,False,False,False,True,False,False,False,True,True,True
29,80,30,154,80,107,271,80,30,154,80,80,80,195,False,False,False,False,False,False,False,False,False,False,False,False
30,248,95,248,157,146,146,157,270,248,248,248,248,46,False,False,False,False,False,False,False,False,False,False,False,False
31,69,52,92,165,200,69,165,165,92,69,69,69,69,True,False,False,False,False,True,False,False,False,True,True,True
32,220,67,67,120,20,271,120,220,67,220,220,220,67,False,True,True,False,False,False,False,False,True,False,False,False
33,24,24,143,157,87,224,157,221,143,24,24,24,56,False,False,False,False,False,False,False,False,False,False,False,False
34,92,77,92,167,92,77,167,236,92,92,92,92,107,False,False,False,False,False,False,False,False,False,False,False,False
35,203,203,203,203,203,203,203,92,203,203,203,203,191,False,False,False,False,False,False,False,False,False,False,False,False
36,188,188,188,228,259,188,228,188,188,188,188,188,173,False,False,False,False,False,False,False,False,False,False,False,False
37,154,30,154,154,28,271,154,30,154,154,154,154,271,False,False,False,False,False,True,False,False,False,False,False,False
38,129,129,129,129,129,129,129,198,129,129,129,129,84,False,False,False,False,False,False,False,False,False,False,False,False
39,92,52,222,52,92,222,92,92,222,92,92,92,52,False,True,False,True,False,False,False,False,False,False,False,False
40,4,105,105,4,105,4,4,4,105,4,4,4,4,True,False,False,True,False,True,True,True,False,True,True,True
41,187,187,187,187,187,187,187,187,187,187,187,187,187,True,True,True,True,True,True,True,True,True,True,True,True
0,238,72,238,238,16,72,72,72,238,238,238,238,127,False,False,False,False,False,False,False,False,False,False,False,False
1,93,2,267,68,52,2,2,2,267,93,93,93,93,True,False,False,False,False,False,False,False,False,True,True,True
2,238,22,238,238,168,22,22,22,238,238,238,238,168,False,False,False,False,True,False,False,False,False,False,False,False
3,140,24,24,157,260,24,24,24,24,140,140,140,260,False,False,False,False,True,False,False,False,False,False,False,False
4,17,17,167,167,164,17,17,17,105,17,17,17,221,False,False,False,False,False,False,False,False,False,False,False,False
5,22,17,96,96,17,17,17,17,96,22,22,22,96,False,False,True,True,False,False,False,False,True,False,False,False
6,4,149,242,86,181,4,149,149,242,4,4,4,198,False,False,False,False,False,False,False,False,False,False,False,False
7,96,72,96,96,42,231,72,72,96,96,96,96,72,False,True,False,False,False,False,True,True,False,False,False,False
8,150,149,150,150,262,150,149,149,150,150,150,150,150,True,False,True,True,False,True,False,False,True,True,True,True
9,146,146,146,244,244,146,146,146,146,146,146,146,60,False,False,False,False,False,False,False,False,False,False,False,False
10,77,77,77,77,87,77,77,77,77,77,77,77,87,False,False,False,False,True,False,False,False,False,False,False,False
11,222,62,62,62,163,222,62,62,62,222,222,222,163,False,False,False,False,True,False,False,False,False,False,False,False
12,165,165,257,165,165,257,165,165,257,165,165,165,257,False,False,True,False,False,True,False,False,True,False,False,False
13,163,163,163,163,163,163,163,163,163,163,163,163,163,True,True,True,True,True,True,True,True,True,True,True,True
14,95,95,95,167,165,268,95,95,95,95,95,95,118,False,False,False,False,False,False,False,False,False,False,False,False
15,157,105,160,142,28,160,188,105,160,157,157,157,48,False,False,False,False,False,False,False,False,False,False,False,False
16,154,12,154,120,120,271,154,12,154,154,154,154,25,False,False,False,False,False,False,False,False,False,False,False,False
17,140,77,140,94,77,265,140,77,140,140,140,140,19,False,False,False,False,False,False,False,False,False,False,False,False
18,4,1,4,1,61,4,1,1,4,4,4,4,73,False,False,False,False,False,False,False,False,False,False,False,False
19,203,89,203,165,259,203,89,89,203,203,203,203,212,False,False,False,False,False,False,False,False,False,False,False,False
20,140,77,140,94,140,77,140,77,140,140,140,140,220,False,False,False,False,False,False,False,False,False,False,False,False
21,67,67,67,244,144,257,229,67,67,67,67,67,72,False,False,False,False,False,False,False,False,False,False,False,False
22,107,107,149,167,165,149,149,107,149,107,107,107,107,True,True,False,False,False,False,False,True,False,True,True,True
23,157,157,188,157,157,188,188,157,188,157,157,157,161,False,False,False,False,False,False,False,False,False,False,False,False
