,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
32,[ 77 258 255],[ 77 255 258],[242 143  77],[ 77 242 255],[ 92 271 143],[255 258  77],[242 258 255],[258 255  77],[242 143  77],[ 77 258 255],[ 77 258 255],[ 77 258 255],255,True,True,False,True,False,True,True,True,False,True,True,True
33,[247 220 101],[247 101 267],[ 20 188 247],[ 20 247 101],[ 90  91 101],[220 267 101],[220 247 101],[220  46 247],[ 20 188 247],[247 220 101],[247 220 101],[247 220 101],220,True,False,False,False,False,True,True,True,False,True,True,True
34,[ 90  46 247],[181  46 247],[ 46 247   6],[ 92  87 247],[271  91 181],[ 90  46 247],[ 93  88 247],[  1  46 247],[ 46 247   6],[ 90  46 247],[ 90  46 247],[ 90  46 247],1,False,False,False,False,False,False,False,True,False,False,False,False
35,[ 91  92 271],[  2 253 109],[ 90 253 221],[ 91   2 109],[ 90  91 157],[ 91  92 271],[ 91  92 271],[ 91  92 271],[ 90 253 221],[ 91  92 271],[ 91  92 271],[ 91  92 271],2,False,True,False,True,False,False,False,False,False,False,False,False
36,[ 28 249  36],[ 28  36 249],[ 28  36 129],[90 28 36],[91 92 28],[ 28  36 249],[ 28 249  36],[198 249  36],[249  36 129],[ 28 249  36],[ 28 249  36],[ 28 249  36],249,True,True,False,False,False,True,True,True,True,True,True,True
37,[ 92 271 231],[ 20 218 231],[ 20 231 100],[ 91  20 231],[271  89 218],[ 92 271 231],[ 92  20 231],[ 92 271 231],[ 20 231 100],[ 92 271 231],[ 92 271 231],[ 92 271 231],218,False,True,False,False,True,False,False,False,False,False,False,False
38,[ 90  91 271],[ 91 165 253],[253 165  92],[ 90  91 271],[271  91 165],[ 90  91 271],[ 90  91 271],[ 90  91 271],[253 165  92],[ 90  91 271],[ 90  91 271],[ 90  91 271],92,False,False,True,False,False,False,False,False,True,False,False,False
39,[ 90  91 271],[ 87 236 222],[ 87 222 236],[ 90  91 271],[ 89  90 222],[ 90  91 271],[ 90  91 271],[ 89  90 222],[ 90  91 236],[ 90  91 271],[ 90  91 271],[ 90  91 271],123,False,False,False,False,False,False,False,False,False,False,False,False
40,[ 92  93 271],[ 91 271  57],[ 92 271  57],[ 90  92 271],[ 90 271  91],[ 92  93 271],[ 92  93 271],[ 92  93 271],[ 92 271  57],[ 92  93 271],[ 92  93 271],[ 92  93 271],57,False,True,True,False,False,False,False,False,True,False,False,False
41,[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],247,True,True,True,True,True,True,True,True,True,True,True,True
0,[108 209  36],[156 209  36],[108 209  36],[ 36 209  52],[90 91 52],[156 209  36],[156 209  36],[156 209  36],[108 209  36],[108 209  36],[108 209  36],[108 209  36],36,True,True,True,True,False,True,True,True,True,True,True,True
1,[107 267 258],[107 267 258],[22 84 59],[ 94 214 107],[ 89  90 120],[107 267 258],[107 267 258],[107 267 258],[22 84 59],[107 267 258],[107 267 258],[107 267 258],87,False,False,False,False,False,False,False,False,False,False,False,False
2,[101  47  19],[101  47  19],[ 16 149  19],[105  19  47],[271  91 129],[101  47  19],[101  47  19],[101  47  19],[259  16 149],[101  47  19],[101  47  19],[101  47  19],19,True,True,True,True,False,True,True,True,False,True,True,True
3,[258 146  93],[146 258  93],[195  93 146],[195  93 146],[271  90 215],[146 258  93],[146 258  93],[146 258  93],[195  93 146],[258 146  93],[258 146  93],[258 146  93],93,True,True,True,True,False,True,True,True,True,True,True,True
4,[247  97 238],[247 238  97],[221 165 259],[214 247 238],[271  90 259],[247 238  97],[247 238  97],[247 238  97],[221 165 259],[247  97 238],[247  97 238],[247  97 238],214,False,False,False,True,False,False,False,False,False,False,False,False
5,[ 88 119 232],[140 119  52],[119 140  52],[232 119  52],[ 89  90 119],[232  52 119],[140 119  52],[140 119  52],[119 140  52],[ 88 119 232],[ 88 119 232],[ 88 119 232],17,False,False,False,False,False,False,False,False,False,False,False,False
6,[ 93  97 238],[181  97 238],[ 97 238 200],[ 92 214 238],[ 92  91 200],[ 93  97 238],[181  97 238],[181  97 238],[200 238  97],[ 93  97 238],[ 93  97 238],[ 93  97 238],181,False,True,False,False,False,False,True,True,False,False,False,False
7,[ 49   4 267],[ 49 241 267],[ 49 241 188],[ 91  92 206],[ 91 206 271],[ 90 206 267],[ 49 241 267],[ 49 241 267],[ 49 241 188],[ 49   4 267],[ 49   4 267],[ 49   4 267],49,True,True,True,False,False,False,True,True,True,True,True,True
8,[ 90 156 108],[108  52 156],[ 52  61 165],[91 92 52],[271  92  61],[ 89 108  52],[108  52 156],[108  52 156],[165  61  52],[ 90 156 108],[ 90 156 108],[ 90 156 108],158,False,False,False,False,False,False,False,False,False,False,False,False
9,[ 91 267 258],[214 267 258],[267  22  84],[ 92  93 214],[90 91 84],[ 91 267 258],[214 267 258],[214 267 258],[267  22  84],[ 91 267 258],[ 91 267 258],[ 91 267 258],214,False,True,False,True,False,False,True,True,False,False,False,False
10,[91 92 77],[91 92 77],[221 129 259],[91 92 77],[271  91 129],[91 92 77],[91 92 77],[91 92 77],[221 129 259],[91 92 77],[91 92 77],[91 92 77],77,True,True,False,True,False,True,True,True,False,True,True,True
11,[271  90 258],[222   2 258],[ 90  91 222],[ 92   2 271],[ 89  90 222],[271  90 258],[222   2 258],[222   2 258],[ 91 258 222],[271  90 258],[271  90 258],[271  90 258],222,False,True,True,False,True,False,True,True,True,False,False,False
12,[ 91  92 247],[ 92 165 247],[ 92 247 165],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 92 165 247],[ 92 165 247],[ 92 247 165],[ 91  92 247],[ 91  92 247],[ 91  92 247],165,False,True,True,False,False,False,True,True,True,False,False,False
13,[ 90  91 271],[ 89  90 123],[ 90  91 271],[ 89  90 123],[ 89  90 123],[ 89  90 123],[ 89  90 123],[ 89  90 123],[ 90  91 271],[ 90  91 271],[ 90  91 271],[ 90  91 271],123,False,True,False,True,True,True,True,True,False,False,False,False
14,[231  97 203],[189  97 235],[203 185  97],[231 103 203],[271  91 231],[231 203 235],[189  97 235],[189  97 235],[203 185  97],[231  97 203],[231  97 203],[231  97 203],189,False,True,False,False,False,False,True,True,False,False,False,False
15,[ 94 124  33],[140  33 212],[ 61 140 143],[  2  33 212],[ 89  90 221],[124  33 212],[ 94  33 124],[140  33 212],[ 84 143 140],[ 94 124  33],[ 94 124  33],[ 94 124  33],124,True,False,False,False,False,True,True,False,False,True,True,True
16,[260 209  67],[209 260  67],[188  35 149],[ 72 209  67],[ 90  91 191],[220 209  67],[ 67 209 220],[209 260  67],[ 72  67 149],[260 209  67],[260 209  67],[260 209  67],191,False,False,False,False,True,False,False,False,False,False,False,False
17,[ 91  92 146],[204  15 146],[204 229 146],[ 92 242 146],[ 89  90 120],[ 92 242 146],[ 92 178 146],[204  15 146],[204 229 146],[ 91  92 146],[ 91  92 146],[ 91  92 146],146,True,True,True,True,False,True,True,True,True,True,True,True
18,[260 203  95],[184  95 260],[ 52 203 184],[ 52 268 184],[271  90 184],[268  52 184],[260 203  95],[184  95 260],[ 52 203 184],[260 203  95],[260 203  95],[260 203  95],184,False,True,True,True,True,True,False,True,True,False,False,False
19,[ 90  36 256],[244 256  36],[244  36 165],[244  36 242],[ 90 271  81],[244  36 256],[ 90  36 256],[244 256  36],[165 244  36],[ 90  36 256],[ 90  36 256],[ 90  36 256],36,True,True,True,True,False,True,True,True,True,True,True,True
20,[ 92  93 248],[165  52 248],[188 165 185],[ 91  52 248],[ 90  91 188],[ 92 248  52],[ 92  93 248],[165  52 248],[188 165 185],[ 92  93 248],[ 92  93 248],[ 92  93 248],52,False,True,False,True,False,True,False,True,False,False,False,False
21,[ 28  67 238],[ 28  67 238],[ 67 228  30],[ 28  67 238],[ 91  92 238],[ 28  67 238],[ 28  67 238],[ 28  67 238],[224 228  30],[ 28  67 238],[ 28  67 238],[ 28  67 238],224,False,False,False,False,False,False,False,False,True,False,False,False
22,[100 103 203],[ 82 244 203],[103 244 203],[244 103 203],[ 90  91 203],[244 103 203],[100 103 203],[ 82 244 203],[103 244 203],[100 103 203],[100 103 203],[100 103 203],103,True,False,True,True,False,True,True,False,True,True,True,True
23,[ 93  94 271],[  2 140 212],[ 90  84 140],[ 93   2 212],[90 91 84],[ 93 271 212],[ 93  94 271],[  2 140 212],[ 90  84 140],[ 93  94 271],[ 93  94 271],[ 93  94 271],212,False,True,False,True,False,True,False,True,False,False,False,False
24,[ 91  92 271],[ 90 188  72],[ 72 188 149],[271  91  72],[ 90 271 149],[271  91  72],[ 91  92 271],[ 90 188  72],[188  72 149],[ 91  92 271],[ 91  92 271],[ 91  92 271],72,False,True,True,True,False,True,False,True,True,False,False,False
25,[ 90  91 271],[ 89  90 222],[ 90 222 229],[ 90  91 271],[ 90  91 228],[ 90  91 271],[ 90  91 271],[ 89  90 222],[ 90 222 229],[ 90  91 271],[ 90  91 271],[ 90  91 271],222,False,True,True,False,False,False,False,True,True,False,False,False
26,[271  91 268],[ 90  52 268],[ 90 268  52],[ 90  52 268],[90 91 52],[ 90 268  52],[271  91 268],[ 90  52 268],[90 91 52],[271  91 268],[271  91 268],[271  91 268],52,False,True,True,True,True,True,False,True,True,False,False,False
27,[ 90  91 271],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 90  91 271],[ 90  91 271],[ 90  91 271],205,False,True,True,True,True,True,True,True,True,False,False,False
28,[239  19 128],[239  19 128],[239  19 128],[ 19 239 128],[ 91  92 239],[ 19 239 128],[ 19 239 128],[239  19 128],[239  19 128],[239  19 128],[239  19 128],[239  19 128],128,True,True,True,True,False,True,True,True,True,True,True,True
29,[67  5 93],[67 26 93],[129  93  62],[ 5 67 93],[ 89  90 120],[ 5 67 93],[67  5 93],[67 26 93],[129  93  62],[67  5 93],[67  5 93],[67  5 93],93,True,True,True,True,False,True,True,True,True,True,True,True
30,[260  97 174],[260  33 174],[161 129 174],[ 20 174  33],[ 90  91 260],[ 97  33 174],[260  97 174],[260  97 174],[161 129 174],[260  97 174],[260  97 174],[260  97 174],174,True,True,True,True,False,True,True,True,True,True,True,True
31,[203  24 234],[142 234 249],[203 234 145],[203  24 142],[ 92 271 143],[203  24 142],[ 24 198 142],[203  24 234],[203 234 145],[203  24 234],[203  24 234],[203  24 234],24,True,False,False,True,False,True,True,True,False,True,True,True
32,[ 98 271 195],[195 271  75],[236  75 195],[187  75 195],[271  91 199],[ 97 187 195],[ 98 271 195],[ 91  92 271],[236  75 195],[ 98 271 195],[ 98 271 195],[ 98 271 195],195,True,True,True,True,False,True,True,False,True,True,True,True
33,[ 91 193 260],[ 52 193 260],[ 52 143 193],[ 91  52 193],[ 91  92 164],[260  52 193],[ 91 193 260],[ 91  92 260],[143  52 193],[ 91 193 260],[ 91 193 260],[ 91 193 260],260,True,True,False,False,False,True,True,True,False,True,True,True
34,[100 271  53],[181  53 271],[271 149  62],[ 93   2 135],[271  89 218],[ 93  94 135],[271 218  53],[100 271  53],[271 149  62],[100 271  53],[100 271  53],[100 271  53],181,False,True,False,False,False,False,False,False,False,False,False,False
35,[91 93 28],[ 91 206  28],[161 229  92],[ 90 206  28],[90 91 92],[ 90 206  28],[91 93 28],[91 93 28],[229 161  92],[91 93 28],[91 93 28],[91 93 28],191,False,False,False,False,False,False,False,False,False,False,False,False
36,[ 92  46 101],[187  46 101],[101 187  30],[ 72 187 101],[ 90  91 101],[ 99 187 101],[ 92  46 101],[ 92  46 101],[ 30 187 101],[ 92  46 101],[ 92  46 101],[ 92  46 101],46,True,True,False,False,False,False,True,True,False,True,True,True
37,[93 88 26],[ 92 271  26],[271 129  62],[ 92  93 271],[271  91 129],[93 88 26],[93 88 26],[93 88 26],[271 129  62],[93 88 26],[93 88 26],[93 88 26],17,False,False,False,False,False,False,False,False,False,False,False,False
38,[ 91  92 271],[271  90  82],[ 88  82 161],[ 91  92 271],[ 92  87 161],[ 91  92 271],[ 91  92 271],[ 91  92 271],[ 88  82 161],[ 91  92 271],[ 91  92 271],[ 91  92 271],191,False,False,False,False,False,False,False,False,False,False,False,False
39,[ 90 249 203],[ 90 203 249],[ 90 249 203],[ 90  91 203],[ 90  91 203],[ 90 249 203],[ 90 249 203],[ 90 249 203],[ 90 249 203],[ 90 249 203],[ 90 249 203],[ 90 249 203],249,True,True,True,False,False,True,True,True,True,True,True,True
40,[ 90  91 271],[ 90  91 271],[ 89 157 271],[ 90  91 135],[ 90  91 271],[ 90  91 135],[ 90  91 271],[ 90  91 271],[ 89 157 271],[ 90  91 271],[ 90  91 271],[ 90  91 271],271,True,True,True,False,True,False,True,True,True,True,True,True
41,[ 90  91 271],[ 91 271  23],[ 90  91 271],[ 91 271  23],[ 91 271  23],[ 91 271  23],[ 91 271  23],[ 91 271  23],[ 90  91 271],[ 90  91 271],[ 90  91 271],[ 90  91 271],23,False,True,False,True,True,True,True,True,False,False,False,False
0,[238  19  31],[ 19 238  31],[238  19  31],[ 19 238 142],[271  90  19],[ 19 238  31],[ 19 238  31],[ 19 238  31],[238  19  31],[238  19  31],[238  19  31],[238  19  31],201,False,False,False,False,False,False,False,False,False,False,False,False
