,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
5,[232  24  96],[24 96 97],[ 24 258  97],[232  24  96],[ 91  90 258],[232  96  24],[24 96 97],[24 96 97],[ 96  24 163],[232  24  96],[232  24  96],[232  24  96],232,True,False,False,True,False,True,False,False,False,True,True,True
6,[253 242 203],[ 82 203 253],[214 205 203],[ 92 242 203],[91 92 35],[ 92 242 203],[ 82 203 253],[ 82 203 253],[205 214 203],[ 91  92 203],[ 91  92 203],[ 91  92 203],214,False,False,True,False,False,False,False,False,True,False,False,False
7,[ 20 198 185],[ 91  20 198],[ 92  20 198],[ 90  92 271],[ 91  92 198],[ 92  20 198],[ 91  20 198],[ 91  20 198],[ 92  20 198],[271  93 198],[ 20 198 185],[271  93 198],42,False,False,False,False,False,False,False,False,False,False,False,False
8,[ 91  92 206],[ 91 206 271],[149 161  35],[ 90  91 206],[91 92 35],[ 91  92 206],[ 91 206 271],[ 91 206 271],[149 161  35],[ 91  92 206],[ 91  92 206],[ 91  92 206],206,True,True,False,True,False,True,True,True,False,True,True,True
9,[ 90  91 271],[244 222 271],[244 163 271],[ 90  91 135],[271  92 244],[ 90  91 271],[244 222 271],[244 222 271],[244 271 163],[ 90  91 271],[ 90  91 271],[ 90  91 271],222,False,True,False,False,False,False,True,True,False,False,False,False
10,[ 92 271 231],[271  91 231],[ 86 164 231],[ 92 271 231],[90 91 86],[ 92 271 231],[271  91 231],[271  91 231],[ 86 164 231],[ 92 271 231],[ 92 271 231],[ 92 271 231],86,False,False,True,False,True,False,False,False,True,False,False,False
11,[181 156  77],[181 156  77],[156 181  77],[ 91  92 271],[91 92 77],[156 181  77],[181 156  77],[181 156  77],[156 181  77],[181 156  77],[181 156  77],[181 156  77],77,True,True,True,False,True,True,True,True,True,True,True,True
12,[ 91 156 212],[ 91 156 212],[ 91 156 212],[ 91  86 212],[ 91  86 212],[ 91 156 212],[ 91 156 212],[ 91 156 212],[ 91 156 212],[ 91 156 212],[ 91 156 212],[ 91 156 212],212,True,True,True,True,True,True,True,True,True,True,True,True
13,[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],[271  92 163],163,True,True,True,True,True,True,True,True,True,True,True,True
14,[185 234  24],[  5  24 234],[ 53  24 234],[52  5 24],[ 90  91 185],[119  24 234],[  5  24 234],[  5  24 234],[ 53  24 234],[185 234  24],[185 234  24],[185 234  24],85,False,False,False,False,False,False,False,False,False,False,False,False
15,[107 184 231],[231  97 260],[107 231 184],[231 184 107],[271  90 184],[107 184 231],[107 231 184],[231  97 260],[231 107 184],[107 184 231],[107 184 231],[107 184 231],217,False,False,False,False,False,False,False,False,False,False,False,False
16,[163 107 134],[107 101   8],[ 52   8 107],[107  52   8],[ 91 257 271],[101   8 107],[163 107 134],[107 101   8],[ 52   8 107],[163 107 134],[163 107 134],[163 107 134],8,False,True,True,True,False,True,False,True,True,False,False,False
17,[ 46 231 134],[167  46 231],[187  46 231],[ 92 187 231],[ 92 167 271],[167 231  46],[ 46 134 231],[167  46 231],[187  46 231],[ 46 231 134],[ 46 231 134],[ 46 231 134],191,False,False,False,False,False,False,False,False,False,False,False,False
18,[120   1  92],[ 45 120   1],[120   1 158],[ 90  91 271],[ 91  92 243],[91  1 45],[ 1 61 92],[ 45 120   1],[  1 158 205],[120   1  92],[120   1  92],[120   1  92],61,False,False,False,False,False,False,True,False,False,False,False,False
