,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
5,195,6,195,42,195,42,6,6,195,195,195,195,110,False,False,False,False,False,False,False,False,False,False,False,False
6,184,6,184,18,4,184,6,6,184,184,184,184,18,False,False,False,True,False,False,False,False,False,False,False,False
7,184,6,184,184,103,184,6,6,184,184,184,184,103,False,False,False,False,True,False,False,False,False,False,False,False
8,262,262,262,262,262,262,262,262,262,262,262,262,158,False,False,False,False,False,False,False,False,False,False,False,False
9,105,167,105,167,105,105,167,167,105,105,105,105,105,True,False,True,False,True,True,False,False,True,True,True,True
10,72,154,72,167,167,72,154,154,72,72,72,72,72,True,False,True,False,False,True,False,False,True,True,True,True
11,105,105,105,61,105,105,105,105,105,105,105,105,105,True,True,True,False,True,True,True,True,True,True,True,True
12,105,105,105,72,72,105,105,105,105,105,105,105,72,False,False,False,True,True,False,False,False,False,False,False,False
13,6,6,6,6,6,6,6,6,6,6,6,6,6,True,True,True,True,True,True,True,True,True,True,True,True
14,242,142,242,47,221,242,142,142,242,242,242,242,204,False,False,False,False,False,False,False,False,False,False,False,False
15,184,94,184,94,198,184,184,94,184,184,184,184,112,False,False,False,False,False,False,False,False,False,False,False,False
16,123,67,123,120,62,123,123,67,123,123,123,123,65,False,False,False,False,False,False,False,False,False,False,False,False
17,52,6,52,52,6,52,52,6,52,52,52,52,46,False,False,False,False,False,False,False,False,False,False,False,False
18,262,262,262,262,129,262,262,262,262,262,262,262,151,False,False,False,False,False,False,False,False,False,False,False,False
19,107,203,107,12,146,107,107,203,107,107,107,107,146,False,False,False,False,True,False,False,False,False,False,False,False
20,24,24,24,182,92,24,24,24,24,24,24,24,24,True,True,True,False,False,True,True,True,True,True,True,True
21,242,242,242,103,84,242,242,242,242,242,242,242,191,False,False,False,False,False,False,False,False,False,False,False,False
22,242,142,242,142,28,242,242,142,242,242,242,242,4,False,False,False,False,False,False,False,False,False,False,False,False
23,184,53,184,53,212,184,184,53,184,184,184,184,184,True,False,True,False,False,True,True,False,True,True,True,True
24,123,163,123,228,123,123,123,163,123,123,123,123,123,True,False,True,False,True,True,True,False,True,True,True,True
25,16,16,16,16,221,16,16,16,16,16,16,16,221,False,False,False,False,True,False,False,False,False,False,False,False
26,262,262,262,262,262,262,262,262,262,262,262,262,262,True,True,True,True,True,True,True,True,True,True,True,True
27,91,91,91,91,91,91,91,91,91,91,91,91,91,True,True,True,True,True,True,True,True,True,True,True,True
28,67,79,67,165,165,67,67,79,67,67,67,67,79,False,True,False,False,False,False,False,True,False,False,False,False
29,107,154,107,80,153,107,107,154,107,107,107,107,195,False,False,False,False,False,False,False,False,False,False,False,False
30,103,248,103,157,270,103,103,103,103,103,103,103,46,False,False,False,False,False,False,False,False,False,False,False,False
31,52,69,52,176,200,52,52,52,52,52,52,52,69,False,True,False,False,False,False,False,False,False,False,False,False
32,67,67,67,120,75,67,67,67,67,67,67,67,67,True,True,True,False,False,True,True,True,True,True,True,True
33,87,56,87,87,208,87,87,87,87,87,87,87,56,False,True,False,False,False,False,False,False,False,False,False,False
34,42,167,42,167,236,42,42,42,42,42,42,42,107,False,False,False,False,False,False,False,False,False,False,False,False
35,158,203,158,203,92,158,158,158,158,158,158,158,191,False,False,False,False,False,False,False,False,False,False,False,False
36,253,253,253,228,199,253,253,253,253,253,253,253,173,False,False,False,False,False,False,False,False,False,False,False,False
37,271,154,271,154,154,271,154,271,271,271,271,271,271,True,False,True,False,False,True,False,True,True,True,True,True
38,129,129,129,129,129,129,129,129,129,129,129,129,84,False,False,False,False,False,False,False,False,False,False,False,False
39,52,222,52,222,92,52,52,52,52,52,52,52,52,True,False,True,False,False,True,True,True,True,True,True,True
40,105,4,105,4,105,105,105,105,105,105,105,105,4,False,True,False,True,False,False,False,False,False,False,False,False
41,187,187,187,187,187,187,187,187,187,187,187,187,187,True,True,True,True,True,True,True,True,True,True,True,True
0,262,262,262,238,16,262,262,262,262,262,262,262,127,False,False,False,False,False,False,False,False,False,False,False,False
1,10,26,10,68,84,26,26,26,10,10,10,10,93,False,False,False,False,False,False,False,False,False,False,False,False
2,87,101,87,238,22,101,101,101,87,87,87,87,168,False,False,False,False,False,False,False,False,False,False,False,False
3,260,140,260,157,236,140,140,140,260,260,260,260,260,True,False,True,False,False,False,False,False,True,True,True,True
4,221,167,221,167,257,167,167,167,221,221,221,221,221,True,False,True,False,False,False,False,False,True,True,True,True
5,262,262,262,96,271,262,262,262,262,262,262,262,96,False,False,False,True,False,False,False,False,False,False,False,False
6,42,4,42,42,198,42,4,4,42,42,42,42,198,False,False,False,False,True,False,False,False,False,False,False,False
7,42,96,42,96,42,42,96,96,42,42,42,42,72,False,False,False,False,False,False,False,False,False,False,False,False
8,262,262,262,262,149,262,262,262,262,262,262,262,150,False,False,False,False,False,False,False,False,False,False,False,False
9,267,146,267,244,244,267,146,146,267,267,267,267,60,False,False,False,False,False,False,False,False,False,False,False,False
10,87,101,87,87,77,87,101,101,87,87,87,87,87,True,False,True,True,False,True,False,False,True,True,True,True
11,163,222,163,222,163,163,222,222,163,163,163,163,163,True,False,True,False,True,True,False,False,True,True,True,True
12,165,165,165,165,257,165,165,165,257,165,165,165,257,False,False,False,False,True,False,False,False,True,False,False,False
