,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
13,6,6,6,6,6,6,6,6,6,6,6,6,6,True,True,True,True,True,True,True,True,True,True,True,True
14,198,142,198,142,4,198,142,142,198,198,198,198,204,False,False,False,False,False,False,False,False,False,False,False,False
15,95,84,95,126,198,95,95,84,95,95,95,95,112,False,False,False,False,False,False,False,False,False,False,False,False
16,66,65,66,129,163,66,66,65,66,66,66,66,65,False,True,False,False,False,False,False,True,False,False,False,False
17,220,28,220,220,260,220,220,28,220,220,220,220,46,False,False,False,False,False,False,False,False,False,False,False,False
18,95,262,95,95,97,95,95,262,95,95,95,95,151,False,False,False,False,False,False,False,False,False,False,False,False
19,107,146,107,107,203,107,107,146,107,107,107,107,146,False,True,False,False,False,False,False,True,False,False,False,False
20,97,24,97,97,182,97,97,24,97,97,97,97,24,False,True,False,False,False,False,False,True,False,False,False,False
21,84,84,84,84,84,84,84,84,84,84,84,84,191,False,False,False,False,False,False,False,False,False,False,False,False
22,198,142,198,142,244,198,28,142,198,198,198,198,4,False,False,False,False,False,False,False,False,False,False,False,False
23,84,84,84,84,53,84,84,84,84,84,84,84,184,False,False,False,False,False,False,False,False,False,False,False,False
24,123,123,123,123,163,123,123,123,123,123,123,123,123,True,True,True,True,False,True,True,True,True,True,True,True
25,28,28,28,28,16,28,28,28,28,28,28,28,221,False,False,False,False,False,False,False,False,False,False,False,False
26,262,262,262,262,105,262,262,262,262,262,262,262,262,True,True,True,True,False,True,True,True,True,True,True,True
27,91,91,91,91,91,91,91,91,91,91,91,91,91,True,True,True,True,True,True,True,True,True,True,True,True
28,73,203,73,73,253,73,73,203,73,73,73,73,79,False,False,False,False,False,False,False,False,False,False,False,False
29,270,270,270,270,199,270,270,270,270,270,270,270,195,False,False,False,False,False,False,False,False,False,False,False,False
30,95,146,95,248,140,95,248,95,95,95,95,95,46,False,False,False,False,False,False,False,False,False,False,False,False
31,89,89,89,89,222,89,89,89,89,89,89,89,69,False,False,False,False,False,False,False,False,False,False,False,False
32,220,67,220,220,77,220,220,220,220,220,220,220,67,False,True,False,False,False,False,False,False,False,False,False,False
33,87,187,87,87,24,87,87,87,87,87,87,87,56,False,False,False,False,False,False,False,False,False,False,False,False
34,107,107,107,107,77,107,107,107,107,107,107,107,107,True,True,True,True,False,True,True,True,True,True,True,True
35,92,203,92,92,206,92,92,92,92,92,92,92,191,False,False,False,False,False,False,False,False,False,False,False,False
36,188,188,188,228,199,188,253,188,188,188,188,188,173,False,False,False,False,False,False,False,False,False,False,False,False
37,28,28,28,28,199,28,28,28,28,28,28,28,271,False,False,False,False,False,False,False,False,False,False,False,False
38,84,84,84,84,129,84,84,84,84,84,84,84,84,True,True,True,True,False,True,True,True,True,True,True,True
39,92,52,92,92,52,92,92,92,92,92,92,92,52,False,True,False,False,True,False,False,False,False,False,False,False
40,105,105,105,105,4,105,105,105,105,105,105,105,4,False,False,False,False,True,False,False,False,False,False,False,False
41,187,187,187,187,187,187,187,187,187,187,187,187,187,True,True,True,True,True,True,True,True,True,True,True,True
0,127,238,127,238,16,238,238,238,127,127,127,127,127,True,False,True,False,False,False,False,False,True,True,True,True
1,84,146,84,84,84,146,146,146,84,84,84,84,93,False,False,False,False,False,False,False,False,False,False,False,False
2,87,187,87,238,187,187,187,187,87,87,87,87,168,False,False,False,False,False,False,False,False,False,False,False,False
3,260,24,260,260,260,24,24,24,260,260,260,260,260,True,False,True,True,True,False,False,False,True,True,True,True
4,218,188,218,167,218,188,188,188,218,218,218,218,221,False,False,False,False,False,False,False,False,False,False,False,False
5,262,262,262,96,271,262,262,262,262,262,262,262,96,False,False,False,True,False,False,False,False,False,False,False,False
6,198,198,198,198,86,198,198,198,198,198,198,198,198,True,True,True,True,False,True,True,True,True,True,True,True
7,163,187,42,96,96,163,187,187,42,163,163,163,72,False,False,False,False,False,False,False,False,False,False,False,False
8,262,262,262,262,161,262,262,262,262,262,262,262,150,False,False,False,False,False,False,False,False,False,False,False,False
9,267,146,267,244,60,267,146,146,267,267,267,267,60,False,False,False,False,True,False,False,False,False,False,False,False
10,87,23,87,87,87,87,23,23,87,87,87,87,87,True,False,True,True,True,True,False,False,True,True,True,True
11,163,163,163,163,222,163,163,163,163,163,163,163,163,True,True,True,True,False,True,True,True,True,True,True,True
12,257,165,257,165,165,257,165,165,257,257,257,257,257,True,False,True,False,False,True,False,False,True,True,True,True
13,163,163,163,163,163,163,163,163,163,163,163,163,163,True,True,True,True,True,True,True,True,True,True,True,True
14,95,56,95,95,107,95,56,56,95,95,95,95,118,False,False,False,False,False,False,False,False,False,False,False,False
15,198,142,198,142,142,28,28,142,198,198,198,198,48,False,False,False,False,False,False,False,False,False,False,False,False
16,60,52,60,167,167,60,60,52,60,60,60,60,25,False,False,False,False,False,False,False,False,False,False,False,False
17,94,19,94,94,259,94,94,19,94,94,94,94,19,False,True,False,False,False,False,False,True,False,False,False,False
18,73,146,73,73,198,73,73,146,73,73,73,73,73,True,False,True,True,False,True,True,False,True,True,True,True
19,89,89,89,89,231,89,89,89,89,89,89,89,212,False,False,False,False,False,False,False,False,False,False,False,False
20,220,94,220,220,123,220,220,94,220,220,220,220,220,True,False,True,True,False,True,True,False,True,True,True,True
21,229,67,229,244,144,229,229,67,229,229,229,229,72,False,False,False,False,False,False,False,False,False,False,False,False
22,156,107,156,107,165,156,156,107,156,156,156,156,107,False,True,False,True,False,False,False,True,False,False,False,False
23,28,28,28,244,157,28,28,28,28,28,28,28,161,False,False,False,False,False,False,False,False,False,False,False,False
24,60,271,60,167,167,60,60,271,60,60,60,60,60,True,False,True,False,False,True,True,False,True,True,True,True
25,259,77,259,140,140,259,259,77,259,259,259,259,77,False,True,False,False,False,False,False,True,False,False,False,False
26,218,146,218,218,218,218,146,146,218,218,218,218,218,True,False,True,True,True,True,False,False,True,True,True,True
27,206,206,206,206,206,206,206,206,206,206,206,206,206,True,True,True,True,True,True,True,True,True,True,True,True
28,156,146,97,97,212,97,97,146,97,156,156,156,97,False,False,True,True,False,True,True,False,True,False,False,False
29,0,238,0,238,231,0,0,238,0,0,0,0,118,False,False,False,False,False,False,False,False,False,False,False,False
30,269,56,269,269,268,269,269,269,269,269,269,269,269,True,False,True,True,False,True,True,True,True,True,True,True
31,15,203,15,84,91,15,15,15,15,15,15,15,195,False,False,False,False,False,False,False,False,False,False,False,False
32,89,89,89,89,236,89,89,89,89,89,89,89,67,False,False,False,False,False,False,False,False,False,False,False,False
33,253,56,253,244,91,253,253,30,253,253,253,253,144,False,False,False,False,False,False,False,False,False,False,False,False
34,215,146,215,215,200,215,215,215,215,215,215,215,221,False,False,False,False,False,False,False,False,False,False,False,False
35,262,262,262,262,191,262,262,262,262,262,262,262,60,False,False,False,False,False,False,False,False,False,False,False,False
36,156,146,156,156,214,156,156,156,156,156,156,156,156,True,False,True,True,False,True,True,True,True,True,True,True
37,208,231,208,167,231,208,231,208,208,208,208,208,208,True,False,True,False,False,True,False,True,True,True,True,True
