,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_21_linear_t3_match,hard_agent_21_log10_t3_match,hard_agent_21_ln_t3_match
28,[ 89 248  84],[187 248 128],[ 89 248  84],[ 89 248  84],[ 91  86 110],[ 89 248  84],[ 89 248  84],[187 248 128],[ 89 248  84],[ 89 248  84],[ 89 248  84],[ 89 248  84],128,False,True,False,False,False,False,False,True,False,False,False,False
29,[ 57  84 220],[ 65 101 220],[ 57  84 220],[201  84 220],[90 91 86],[ 57  84 220],[ 57  84 220],[ 65 101 220],[ 57  84 220],[ 57  84 220],[ 57  84 220],[ 57  84 220],201,False,False,False,True,False,False,False,False,False,False,False,False
30,[215  84 124],[129 124 215],[215  84 124],[215 124  84],[ 92  87 195],[215  84 124],[215  84 124],[215  84 124],[215  84 124],[215  84 124],[215  84 124],[215  84 124],91,False,False,False,False,False,False,False,False,False,False,False,False
31,[  6 267  30],[199 203 271],[  6 267  30],[267   6  30],[92 91 30],[  6 267  30],[  6 267  30],[  6 267  30],[  6 267  30],[  6 267  30],[  6 267  30],[  6 267  30],271,False,True,False,False,False,False,False,False,False,False,False,False
32,[149 107  84],[ 84  65 107],[149 107  84],[110 107  84],[ 92  65 271],[149 107  84],[149 107  84],[149 107  84],[149 107  84],[149 107  84],[149 107  84],[149 107  84],149,True,False,True,False,False,True,True,True,True,True,True,True
33,[ 42 124   0],[ 53 124   0],[ 42 124   0],[178 124   0],[90 91 86],[ 42 124   0],[ 42 124   0],[ 42 124   0],[ 42 124   0],[ 42 124   0],[ 42 124   0],[ 42 124   0],0,True,True,True,True,False,True,True,True,True,True,True,True
34,[161  57 124],[161 244 124],[161  57 124],[ 57 124 244],[ 91 271  57],[161  57 124],[161  57 124],[161  57 124],[161  57 124],[161  57 124],[161  57 124],[161  57 124],23,False,False,False,False,False,False,False,False,False,False,False,False
35,[242 259  42],[199 244 119],[242 259  42],[ 86 119 244],[92 87 42],[242 259  42],[242 259  42],[242 259  42],[242 259  42],[242 259  42],[242 259  42],[242 259  42],259,True,False,True,False,False,True,True,True,True,True,True,True
36,[77 89 84],[ 89 178  84],[77 89 84],[178  89  84],[ 90  91 232],[77 89 84],[77 89 84],[77 89 84],[77 89 84],[77 89 84],[77 89 84],[77 89 84],77,True,False,True,False,False,True,True,True,True,True,True,True
37,[164  57  84],[ 84 214 101],[164  57  84],[164  57  84],[ 91 271  57],[164  57  84],[164  57  84],[164  57  84],[164  57  84],[164  57  84],[164  57  84],[164  57  84],214,False,True,False,False,False,False,False,False,False,False,False,False
38,[242   6  84],[242 195  84],[242   6  84],[242   6  84],[271  91 242],[242   6  84],[242   6  84],[242   6  84],[242   6  84],[242   6  84],[242   6  84],[242   6  84],84,True,True,True,True,False,True,True,True,True,True,True,True
39,[203   6  30],[  6  30 203],[203   6  30],[203   6  30],[271  92   6],[203   6  30],[203   6  30],[203   6  30],[203   6  30],[203   6  30],[203   6  30],[203   6  30],203,True,True,True,True,False,True,True,True,True,True,True,True
40,[ 89 182  84],[ 89 182  84],[ 89 182  84],[ 89 182  84],[90 91 84],[ 89 182  84],[ 89 182  84],[ 89 182  84],[ 89 182  84],[ 89 182  84],[ 89 182  84],[ 89 182  84],182,True,True,True,True,False,True,True,True,True,True,True,True
41,[92 87 42],[92 87 42],[92 87 42],[92 87 42],[92 87 42],[92 87 42],[92 87 42],[92 87 42],[92 87 42],[92 87 42],[92 87 42],[92 87 42],42,True,True,True,True,True,True,True,True,True,True,True,True
0,[255 223  95],[223 188  95],[255 223  95],[255 223  95],[ 89 271 224],[223 188  95],[223 188  95],[223 188  95],[255 223  95],[255 223  95],[255 223  95],[255 223  95],223,True,True,True,True,False,True,True,True,True,True,True,True
1,[156  84 124],[156 124 268],[156  84 124],[  6  84 124],[271  90 124],[156 124 268],[156 124 268],[156 124 268],[156  84 124],[156  84 124],[156  84 124],[156  84 124],124,True,True,True,True,True,True,True,True,True,True,True,True
2,[149  23 143],[214 142 271],[149  23 143],[143 157 142],[271  92 142],[214 142 271],[214 142 271],[214 142 271],[149  23 143],[149  23 143],[149  23 143],[149  23 143],143,True,False,True,True,False,False,False,False,True,True,True,True
3,[164  92   0],[112 119   0],[164  92   0],[164 119   0],[271  91 242],[112 119   0],[112 119   0],[112 119   0],[164  92   0],[164  92   0],[164  92   0],[164  92   0],0,True,True,True,True,False,True,True,True,True,True,True,True
4,[140  89 236],[199  53  26],[140 236  89],[236 140  89],[271  90  82],[199  53  26],[199  53  26],[199  53  26],[140 236  89],[140  89 236],[140  89 236],[140  89 236],26,False,True,False,False,False,True,True,True,False,False,False,False
