,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
13,6,6,6,6,6,6,6,6,6,6,6,6,6,True,True,True,True,True,True,True,True,True,True,True,True
14,47,142,242,47,204,4,142,142,242,47,47,47,204,False,False,False,False,True,False,False,False,False,False,False,False
15,95,94,53,94,95,53,94,94,53,95,95,95,112,False,False,False,False,False,False,False,False,False,False,False,False
16,67,67,129,120,232,232,120,67,129,67,67,67,65,False,False,False,False,False,False,False,False,False,False,False,False
17,16,6,52,52,6,46,46,6,52,16,16,16,46,False,False,False,False,False,True,True,False,False,False,False,False
18,95,95,95,86,4,4,86,95,4,95,95,95,151,False,False,False,False,False,False,False,False,False,False,False,False
19,146,203,107,12,203,146,12,203,107,146,146,146,146,True,False,False,False,False,True,False,False,False,True,True,True
20,188,24,188,182,32,206,182,24,188,188,188,188,24,False,True,False,False,False,False,False,True,False,False,False,False
21,242,242,242,103,242,191,191,242,242,242,242,242,191,False,False,False,False,False,True,True,False,False,False,False,False
22,142,142,28,142,28,4,142,142,28,142,142,142,4,False,False,False,False,False,True,False,False,False,False,False,False
23,184,53,129,53,53,53,53,53,129,184,184,184,184,True,False,False,False,False,False,False,False,False,True,True,True
24,243,163,243,228,163,228,228,163,243,243,243,243,123,False,False,False,False,False,False,False,False,False,False,False,False
25,16,16,16,16,221,28,16,16,16,16,16,16,221,False,False,False,False,True,False,False,False,False,False,False,False
26,105,105,105,105,262,105,105,105,105,105,105,105,262,False,False,False,False,True,False,False,False,False,False,False,False
27,91,91,91,91,91,91,91,91,91,91,91,91,91,True,True,True,True,True,True,True,True,True,True,True,True
28,79,79,253,165,165,79,165,79,253,79,79,79,79,True,True,False,False,False,True,False,True,False,True,True,True
29,119,154,154,80,30,46,80,154,154,119,119,119,195,False,False,False,False,False,False,False,False,False,False,False,False
30,248,248,248,157,140,146,157,248,248,248,248,248,46,False,False,False,False,False,False,False,False,False,False,False,False
31,69,69,89,165,46,69,165,89,89,69,69,69,69,True,True,False,False,False,True,False,False,False,True,True,True
32,67,67,67,120,120,4,120,67,67,67,67,67,67,True,True,True,False,False,False,False,True,True,True,True,True
33,56,56,143,157,143,56,157,143,143,56,56,56,56,True,True,False,False,False,True,False,False,False,True,True,True
34,92,167,92,167,212,77,167,92,92,92,92,92,107,False,False,False,False,False,False,False,False,False,False,False,False
35,203,203,203,203,46,203,203,92,203,203,203,203,191,False,False,False,False,False,False,False,False,False,False,False,False
36,253,253,253,228,259,253,228,253,253,253,253,253,173,False,False,False,False,False,False,False,False,False,False,False,False
