,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
31,[195  42  87],[231  87  89],[195  42  87],[231  87  42],[271  90  87],[89 42 87],[195  42  87],[195  42  87],[195  42  87],[195  42  87],[195  42  87],[195  42  87],87,True,True,True,True,True,True,True,True,True,True,True,True
32,[142 247  52],[ 52  56 142],[142 247  52],[228 165 142],[ 91 271 211],[165  56 142],[142 247  52],[142 247  52],[142 247  52],[142 247  52],[142 247  52],[142 247  52],142,True,True,True,True,False,True,True,True,True,True,True,True
33,[ 62 120 195],[  4 153  18],[ 62 120 195],[153  18 120],[ 89  90 205],[120  62  18],[120  62 195],[ 62 120 195],[ 62 120 195],[ 62 120 195],[ 62 120 195],[ 62 120 195],153,False,True,False,True,False,False,False,False,False,False,False,False
34,[  1 167 103],[268 253 167],[  1 167 103],[253 167   1],[ 91 271  57],[  1 167 253],[167 253 103],[  1 167 103],[  1 167 103],[  1 167 103],[  1 167 103],[  1 167 103],103,True,False,True,False,False,False,True,True,True,True,True,True
35,[ 46 234 242],[ 46  53 234],[ 46 234 242],[232  53 234],[ 91  90 234],[232  46 234],[ 46 234 242],[ 46 234 242],[ 46 234 242],[ 46 234 242],[ 46 234 242],[ 46 234 242],242,True,False,True,False,False,False,True,True,True,True,True,True
36,[ 46  23 243],[ 23 215  46],[ 46  23 243],[ 23  46 228],[90 91 46],[23 77 46],[ 46  23 243],[ 46  23 243],[ 46  23 243],[ 46  23 243],[ 46  23 243],[ 46  23 243],243,True,False,True,False,False,False,True,True,True,True,True,True
37,[222 232 259],[232 222 101],[222 232 259],[222 101 228],[ 89  90 222],[222 232 259],[222 232 259],[222 232 259],[222 232 259],[222 232 259],[222 232 259],[222 232 259],232,True,True,True,False,False,True,True,True,True,True,True,True
38,[257  17 103],[257  17 103],[257  17 103],[257 103  17],[ 92 271   7],[103 257  17],[257  17 103],[257  17 103],[257  17 103],[257  17 103],[257  17 103],[257  17 103],103,True,True,True,True,False,True,True,True,True,True,True,True
39,[202 231 185],[185 231 202],[202 231 185],[ 90 185 231],[ 90  91 202],[202 231 185],[202 231 185],[202 231 185],[202 231 185],[202 231 185],[202 231 185],[202 231 185],202,True,True,True,False,True,True,True,True,True,True,True,True
40,[ 91 228 247],[ 91 247 228],[ 91 228 247],[ 91 247 228],[ 90  91 228],[ 91 247 228],[ 91 228 247],[ 91 228 247],[ 91 228 247],[ 91 228 247],[ 91 228 247],[ 91 228 247],247,True,True,True,True,False,True,True,True,True,True,True,True
41,[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],[ 89  90 205],205,True,True,True,True,True,True,True,True,True,True,True,True
0,[224 147 203],[  1 147 203],[224 147 203],[ 12   1 147],[90 91  1],[  1 147 203],[  1 147 203],[  1 147 203],[224 147 203],[224 147 203],[224 147 203],[224 147 203],147,True,True,True,True,False,True,True,True,True,True,True,True
1,[123 120  42],[188 146 255],[123  42 120],[123  42 120],[ 91  92 179],[188 146 255],[188 146 255],[188 146 255],[123  42 120],[123 120  42],[123 120  42],[123 120  42],146,False,True,False,False,False,True,True,True,False,False,False,False
2,[176 142  42],[232 142 176],[232 142  42],[ 42 142 176],[271  90 208],[232 142 176],[232 142 176],[232 142 176],[142 232  42],[176 142  42],[176 142  42],[176 142  42],176,True,True,False,True,False,True,True,True,False,True,True,True
