,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_21_linear,hard_agent_21_log10,hard_agent_21_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_21_linear_match,hard_agent_21_log10_match,hard_agent_21_ln_match
13,6,6,6,6,6,6,6,6,6,6,6,6,6,True,True,True,True,True,True,True,True,True,True,True,True
14,142,142,142,142,140,47,142,142,142,142,142,142,204,False,False,False,False,False,False,False,False,False,False,False,False
15,95,95,53,94,95,94,94,95,53,95,95,95,112,False,False,False,False,False,False,False,False,False,False,False,False
16,67,65,67,120,62,67,228,65,67,67,67,67,65,False,True,False,False,False,False,False,True,False,False,False,False
17,220,28,52,52,6,52,220,28,52,220,220,220,46,False,False,False,False,False,False,False,False,False,False,False,False
18,95,95,95,86,97,105,86,95,105,95,95,95,151,False,False,False,False,False,False,False,False,False,False,False,False
19,146,146,146,12,221,107,12,146,107,146,146,146,146,True,True,True,False,False,False,False,True,False,True,True,True
20,24,24,24,182,92,24,182,24,24,24,24,24,24,True,True,True,False,False,True,False,True,True,True,True,True
21,103,84,103,242,242,103,103,84,103,103,103,103,191,False,False,False,False,False,False,False,False,False,False,False,False
22,142,142,142,142,244,142,142,142,142,142,142,142,4,False,False,False,False,False,False,False,False,False,False,False,False
23,53,53,53,184,129,184,53,53,53,53,53,53,184,False,False,False,True,False,True,False,False,False,False,False,False
24,243,243,243,228,243,243,228,243,243,243,243,243,123,False,False,False,False,False,False,False,False,False,False,False,False
25,28,28,28,28,221,28,28,28,28,28,28,28,221,False,False,False,False,True,False,False,False,False,False,False,False
26,105,105,105,105,262,105,105,105,105,105,105,105,262,False,False,False,False,True,False,False,False,False,False,False,False
27,91,91,91,91,91,91,91,91,91,91,91,91,91,True,True,True,True,True,True,True,True,True,True,True,True
28,79,203,79,228,259,67,228,203,79,79,79,79,79,True,False,True,False,False,False,False,False,True,True,True,True
29,80,28,107,80,270,80,80,28,107,80,80,80,195,False,False,False,False,False,False,False,False,False,False,False,False
30,146,146,146,157,157,103,157,95,146,146,146,146,46,False,False,False,False,False,False,False,False,False,False,False,False
31,69,203,69,165,69,52,165,89,69,69,69,69,69,True,False,True,False,True,False,False,False,True,True,True,True
32,220,67,67,120,77,67,120,67,67,220,220,220,67,False,True,True,False,False,True,False,True,True,False,False,False
33,24,187,24,157,87,24,157,143,24,24,24,24,56,False,False,False,False,False,False,False,False,False,False,False,False
34,107,107,107,167,105,107,167,92,107,107,107,107,107,True,True,True,False,False,True,False,False,True,True,True,True
35,203,203,203,206,46,158,203,92,203,203,203,203,191,False,False,False,False,False,False,False,False,False,False,False,False
36,188,188,188,228,188,173,228,188,188,188,188,188,173,False,False,False,False,False,True,False,False,False,False,False,False
37,271,28,271,28,199,271,30,28,271,271,271,271,271,True,False,True,False,False,True,False,False,True,True,True,True
38,84,208,198,84,208,84,208,84,198,84,84,84,84,True,False,False,True,False,True,False,True,False,True,True,True
39,52,52,52,52,222,52,52,92,52,52,52,52,52,True,True,True,True,False,True,True,False,True,True,True,True
40,105,105,105,105,105,105,105,4,105,105,105,105,4,False,False,False,False,False,False,False,True,False,False,False,False
41,187,187,187,187,187,187,187,187,187,187,187,187,187,True,True,True,True,True,True,True,True,True,True,True,True
0,127,238,127,238,262,238,238,238,127,127,127,127,127,True,False,True,False,False,False,False,False,True,True,True,True
1,146,146,267,244,257,146,146,146,146,146,146,146,93,False,False,False,False,False,False,False,False,False,False,False,False
2,238,187,238,238,22,187,187,187,238,238,238,238,168,False,False,False,False,False,False,False,False,False,False,False,False
3,24,24,24,157,24,24,24,24,24,24,24,24,260,False,False,False,False,False,False,False,False,False,False,False,False
4,105,188,105,167,17,188,188,188,105,105,105,105,221,False,False,False,False,False,False,False,False,False,False,False,False
5,96,96,96,96,17,22,96,96,96,96,96,96,96,True,True,True,True,False,False,True,True,True,True,True,True
6,198,205,181,86,198,149,205,205,181,198,198,198,198,True,False,False,False,True,False,False,False,False,True,True,True
