,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_t3_match,Greedy Agent_turns_greedy_0_t3_match,arch_receiver_agent_t3_match,"med_agent_archs_[0, 1, 2]_t3_match",dummy_agent_random_t3_match,force_k_agent_k_5_t3_match,force_k_agent_k_15_t3_match,force_k_agent_k_30_t3_match,arch_pass_agent_t3_match,hard_agent_8_16_linear_t3_match,hard_agent_8_16_log10_t3_match,hard_agent_8_16_ln_t3_match
14,[  2 231 214],[231 119 241],[  2 231 214],[148 142 231],[271  90  97],[  2 231 214],[231 119 241],[231 119 241],[  2 231 214],[  2 231 214],[  2 231 214],[  2 231 214],73,False,False,False,False,False,False,False,False,False,False,False,False
15,[ 24 107 247],[ 86 119 107],[ 24 107 247],[247 107 168],[ 92   2 271],[ 24 107 247],[ 24 107 247],[ 86 119 107],[ 24 107 247],[ 24 107 247],[ 24 107 247],[ 24 107 247],119,False,True,False,False,False,False,False,True,False,False,False,False
16,[187  95 220],[ 62 187  95],[ 95 187 220],[ 95 220 221],[90 91 12],[218 220  95],[187  95 220],[ 62 187  95],[ 95 187 220],[187  95 220],[187  95 220],[187  95 220],209,False,False,False,False,False,False,False,False,False,False,False,False
17,[212  53 247],[209 185 244],[208  53 247],[209 212 247],[ 91  92 145],[212  53 247],[212  53 247],[209 185 244],[208  53 247],[212  53 247],[212  53 247],[212  53 247],209,False,True,False,True,False,False,False,True,False,False,False,False
18,[ 28   3 238],[238 188  28],[ 28   3 238],[ 28 187 238],[ 90  91 188],[ 28   3 238],[ 28   3 238],[238 188  28],[ 28   3 238],[ 28   3 238],[ 28   3 238],[ 28   3 238],238,True,True,True,True,False,True,True,True,True,True,True,True
19,[  1  29 247],[129 241   1],[241  29 247],[ 29   1 247],[271  91 129],[241  29 247],[241  29 247],[129 241   1],[241  29 247],[  1  29 247],[  1  29 247],[  1  29 247],97,False,False,False,False,False,False,False,False,False,False,False,False
20,[101  57 243],[158 243  57],[101  57 243],[158 243  57],[ 91  92 243],[101  57 243],[101  57 243],[158 243  57],[101  57 243],[101  57 243],[101  57 243],[101  57 243],68,False,False,False,False,False,False,False,False,False,False,False,False
21,[209 258  84],[185  62 215],[209 258  84],[258  84 209],[ 91  90 258],[209 258  84],[209 258  84],[185  62 215],[209 258  84],[209 258  84],[209 258  84],[209 258  84],209,True,False,True,True,False,True,True,False,True,True,True,True
22,[148   2 214],[148   2 119],[148   2 214],[119 214 148],[ 90 271 214],[148   2 214],[119   2 214],[148   2 119],[148   2 214],[148   2 214],[148   2 214],[148   2 214],119,False,True,False,True,False,False,True,True,False,False,False,False
23,[  2  17 247],[ 17 247  86],[  2  17 247],[ 17   2 247],[90 91 86],[ 17   2 247],[  2  17 247],[ 17 247  86],[  2  17 247],[  2  17 247],[  2  17 247],[  2  17 247],86,False,True,False,False,True,False,False,True,False,False,False,False
24,[178 218 221],[218 221  62],[178 218 221],[ 62 218 221],[91 92 62],[178 218 221],[178 218 221],[218 221  62],[178 218 221],[178 218 221],[178 218 221],[178 218 221],178,True,False,True,False,False,True,True,False,True,True,True,True
25,[164 208  53],[ 53 208 164],[164 208  53],[ 53 164 208],[271  90 208],[164 208  53],[164 208  53],[ 53 208 164],[164 208  53],[164 208  53],[164 208  53],[164 208  53],208,True,True,True,True,True,True,True,True,True,True,True,True
26,[ 91 164 222],[ 91 222 164],[ 91 164 222],[ 91 164 222],[ 89  90 222],[ 91 164 222],[ 91 164 222],[ 91 222 164],[ 91 164 222],[ 91 164 222],[ 91 164 222],[ 91 164 222],164,True,True,True,True,False,True,True,True,True,True,True,True
27,[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],[ 91  92 247],247,True,True,True,True,True,True,True,True,True,True,True,True
28,[ 95 238 192],[103 119 192],[ 95 238 192],[ 95 192 238],[271  91  95],[ 95 238 192],[ 95 238 192],[103 119 192],[ 95 238 192],[ 95 238 192],[ 95 238 192],[ 95 238 192],192,True,True,True,True,False,True,True,True,True,True,True,True
29,[ 72 146 222],[47 10  0],[ 47 222 146],[ 10 146 221],[ 91 271  10],[ 47 222  72],[ 47 222 146],[47 10  0],[ 47 222 146],[ 72 146 222],[ 72 146 222],[ 72 146 222],47,False,True,True,False,False,True,True,True,True,False,False,False
30,[222  84 107],[ 86  30 107],[222  84 107],[ 30  84 107],[ 91  90 132],[222  84 107],[222  84 107],[222  84 107],[222  84 107],[222  84 107],[222  84 107],[222  84 107],120,False,False,False,False,False,False,False,False,False,False,False,False
31,[105 220 193],[120 105 202],[105 193 220],[202 193 220],[ 89  90 120],[105 220 193],[105 220 193],[105 220 193],[105 193 220],[105 220 193],[105 220 193],[105 220 193],267,False,False,False,False,False,False,False,False,False,False,False,False
32,[189 267 131],[ 23  80 189],[189 267 131],[189  80 242],[ 91 271  23],[189 267 131],[189 267 131],[189 267 131],[189 267 131],[189 267 131],[189 267 131],[189 267 131],189,True,True,True,True,False,True,True,True,True,True,True,True
33,[ 28 245  24],[ 24 245 224],[ 28 245  24],[ 28  24 245],[ 90  91 182],[ 28 245  24],[ 28 245  24],[ 28 245  24],[ 28 245  24],[ 28 245  24],[ 28 245  24],[ 28 245  24],245,True,True,True,True,False,True,True,True,True,True,True,True
34,[ 96  97 193],[ 11 193 215],[ 96  97 193],[ 97  96 193],[ 92 271 143],[ 96  97 193],[ 96  97 193],[ 96  97 193],[ 96  97 193],[ 96  97 193],[ 96  97 193],[ 96  97 193],97,True,False,True,True,False,True,True,True,True,True,True,True
35,[ 33  57 247],[ 54  57 119],[ 57  33 247],[119 247  57],[91 92 33],[ 57  33 247],[ 33  57 247],[ 33  57 247],[ 57  33 247],[ 33  57 247],[ 33  57 247],[ 33  57 247],119,False,True,False,True,False,False,False,False,False,False,False,False
36,[ 23 103 238],[219  23 119],[ 23 103 238],[119 238 103],[ 89  90 219],[ 23 103 238],[ 23 103 238],[ 23 103 238],[ 23 103 238],[ 23 103 238],[ 23 103 238],[ 23 103 238],238,True,False,True,True,False,True,True,True,True,True,True,True
37,[242  72 221],[242  72 221],[242  72 221],[242  72 221],[ 92  87 178],[242  72 221],[242  72 221],[242  72 221],[242  72 221],[242  72 221],[242  72 221],[242  72 221],178,False,False,False,False,True,False,False,False,False,False,False,False
38,[ 30 222 107],[268  30 107],[ 30 222 107],[222  30 107],[ 89  90 222],[ 30 222 107],[ 30 222 107],[ 30 222 107],[ 30 222 107],[ 30 222 107],[ 30 222 107],[ 30 222 107],30,True,True,True,True,False,True,True,True,True,True,True,True
39,[182 120  23],[182 120  23],[182 120  23],[182 120  23],[ 89  90 120],[182 120  23],[182 120  23],[182 120  23],[182 120  23],[182 120  23],[182 120  23],[182 120  23],182,True,True,True,True,False,True,True,True,True,True,True,True
40,[ 89 246 110],[ 89 246 110],[ 89 246 110],[ 89 246 110],[ 92  87 246],[ 89 246 110],[ 89 246 110],[ 89 246 110],[ 89 246 110],[ 89 246 110],[ 89 246 110],[ 89 246 110],246,True,True,True,True,True,True,True,True,True,True,True,True
41,[91 92 28],[91 92 28],[91 92 28],[91 92 28],[91 92 28],[91 92 28],[91 92 28],[91 92 28],[91 92 28],[91 92 28],[91 92 28],[91 92 28],28,True,True,True,True,True,True,True,True,True,True,True,True
0,[  2 159 231],[159 187 271],[  2 159 231],[159 187 231],[ 90 271 149],[159 187 271],[159 187 271],[159 187 271],[  2 159 231],[  2 159 231],[  2 159 231],[  2 159 231],159,True,True,True,True,False,True,True,True,True,True,True,True
1,[29 84 18],[188  84 119],[29 84 18],[ 18  84 103],[271  90 259],[188  84 119],[188  84 119],[188  84 119],[29 84 18],[84 29 18],[84 29 18],[84 29 18],18,True,False,True,True,False,False,False,False,True,True,True,True
2,[243 247 192],[185 243 192],[243 192 247],[243 247 192],[ 91  92 247],[185 243 192],[185 243 192],[185 243 192],[243 192 247],[243 247 192],[243 247 192],[243 247 192],192,True,True,True,True,False,True,True,True,True,True,True,True
3,[ 56 195 247],[188  61 215],[ 56 195 247],[247  56 221],[ 90  91 188],[188  61 215],[188  61 215],[188  61 215],[ 56 195 247],[ 56 195 247],[ 56 195 247],[ 56 195 247],256,False,False,False,False,False,False,False,False,False,False,False,False
4,[231  56 195],[164  19 119],[231  56 195],[195 231  56],[271  91  56],[164  19 119],[164  19 119],[164  19 119],[231  56 195],[231  56 195],[231  56 195],[231  56 195],19,False,True,False,False,False,True,True,True,False,False,False,False
5,[243 267 107],[243 103 107],[243 267 107],[243 103 107],[ 91 271  57],[243 267 107],[243 103 107],[243 103 107],[243 267 107],[243 267 107],[243 267 107],[243 267 107],107,True,True,True,True,False,True,True,True,True,True,True,True
6,[161 146 206],[158 206 246],[161 146 206],[236 146 206],[ 92  87 246],[161 146 206],[158 206 246],[158 206 246],[161 146 206],[161 146 206],[161 146 206],[161 146 206],146,True,False,True,True,False,True,False,False,True,True,True,True
7,[ 86  24 220],[ 86 148 220],[ 86  24 220],[148  24 220],[ 89  90 220],[ 86  24 220],[ 86 148 220],[ 86 148 220],[ 86  24 220],[ 86  24 220],[ 86  24 220],[ 86  24 220],24,True,False,True,True,False,True,False,False,True,True,True,True
