,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
13,6,6,6,6,6,6,6,6,6,6,6,6,6,True,True,True,True,True,True,True,True,True,True,True,True
14,242,47,242,47,242,242,47,47,242,242,242,242,204,False,False,False,False,False,False,False,False,False,False,False,False
15,184,17,184,94,95,184,184,17,184,184,184,184,112,False,False,False,False,False,False,False,False,False,False,False,False
16,67,62,67,120,65,67,67,62,67,67,67,67,65,False,False,False,False,True,False,False,False,False,False,False,False
17,52,6,52,52,221,52,52,6,52,52,52,52,46,False,False,False,False,False,False,False,False,False,False,False,False
18,105,95,105,86,86,105,105,95,105,105,105,105,151,False,False,False,False,False,False,False,False,False,False,False,False
19,107,12,107,12,107,107,107,12,107,107,107,107,146,False,False,False,False,False,False,False,False,False,False,False,False
20,24,24,24,182,24,24,24,24,24,24,24,24,24,True,True,True,False,True,True,True,True,True,True,True,True
21,103,2,103,91,84,103,103,2,103,103,103,103,191,False,False,False,False,False,False,False,False,False,False,False,False
22,242,142,242,142,198,242,242,142,242,242,242,242,4,False,False,False,False,False,False,False,False,False,False,False,False
23,184,53,184,53,129,184,184,53,184,184,184,184,184,True,False,True,False,False,True,True,False,True,True,True,True
24,243,163,243,228,243,243,243,163,243,243,243,243,123,False,False,False,False,False,False,False,False,False,False,False,False
25,28,221,28,28,221,221,28,221,28,28,28,28,221,False,True,False,False,True,True,False,True,False,False,False,False
26,105,105,105,105,105,105,105,105,105,105,105,105,262,False,False,False,False,False,False,False,False,False,False,False,False
27,91,91,91,91,91,91,91,91,91,91,91,91,91,True,True,True,True,True,True,True,True,True,True,True,True
28,67,67,67,165,203,67,67,67,67,67,67,67,79,False,False,False,False,False,False,False,False,False,False,False,False
29,195,30,195,80,80,195,195,30,195,195,195,195,195,True,False,True,False,False,True,True,False,True,True,True,True
30,103,95,103,157,270,103,103,103,103,103,103,103,46,False,False,False,False,False,False,False,False,False,False,False,False
31,52,52,52,165,203,52,52,52,52,52,52,52,69,False,False,False,False,False,False,False,False,False,False,False,False
32,67,20,67,120,220,67,67,67,67,67,67,67,67,True,False,True,False,False,True,True,True,True,True,True,True
33,24,24,24,157,24,24,24,24,24,24,24,24,56,False,False,False,False,False,False,False,False,False,False,False,False
34,107,77,107,167,42,107,107,107,107,107,107,107,107,True,False,True,False,False,True,True,True,True,True,True,True
35,158,203,158,203,203,158,158,158,158,158,158,158,191,False,False,False,False,False,False,False,False,False,False,False,False
36,188,188,188,228,259,188,188,188,188,188,188,188,173,False,False,False,False,False,False,False,False,False,False,False,False
37,271,30,271,154,28,271,271,271,271,271,271,271,271,True,False,True,False,False,True,True,True,True,True,True,True
38,129,129,129,129,198,129,129,129,129,129,129,129,84,False,False,False,False,False,False,False,False,False,False,False,False
39,52,52,222,52,92,52,52,52,222,52,52,52,52,True,True,False,True,False,True,True,True,False,True,True,True
40,105,105,105,4,4,105,105,105,105,105,105,105,4,False,False,False,True,True,False,False,False,False,False,False,False
41,187,187,187,187,187,187,187,187,187,187,187,187,187,True,True,True,True,True,True,True,True,True,True,True,True
0,238,72,238,238,16,72,72,72,238,238,238,238,127,False,False,False,False,False,False,False,False,False,False,False,False
1,267,2,267,68,10,2,2,2,267,267,267,267,93,False,False,False,False,False,False,False,False,False,False,False,False
2,158,22,158,238,187,22,22,22,158,158,158,158,168,False,False,False,False,False,False,False,False,False,False,False,False
3,260,20,260,157,163,20,20,20,260,260,260,260,260,True,False,True,False,False,False,False,False,True,True,True,True
4,221,17,221,167,257,17,17,17,221,221,221,221,221,True,False,True,False,False,False,False,False,True,True,True,True
5,163,17,163,96,163,163,17,17,163,163,163,163,96,False,False,False,True,False,False,False,False,False,False,False,False
6,198,149,198,86,181,198,149,149,198,198,198,198,198,True,False,True,False,False,True,False,False,True,True,True,True
7,163,72,96,96,42,163,72,72,96,163,163,163,72,False,True,False,False,False,False,True,True,False,False,False,False
8,267,149,267,150,262,267,149,149,267,267,267,267,150,False,False,False,True,False,False,False,False,False,False,False,False
9,267,146,267,244,60,267,146,146,267,267,267,267,60,False,False,False,False,True,False,False,False,False,False,False,False
10,77,77,77,77,77,77,77,77,77,77,77,77,87,False,False,False,False,False,False,False,False,False,False,False,False
11,163,62,163,62,222,163,62,62,163,163,163,163,163,True,False,True,False,False,True,False,False,True,True,True,True
12,165,165,257,165,165,257,165,165,257,165,165,165,257,False,False,True,False,False,True,False,False,True,False,False,False
13,163,163,163,163,163,163,163,163,163,163,163,163,163,True,True,True,True,True,True,True,True,True,True,True,True
14,156,95,156,167,193,156,95,95,156,156,156,156,118,False,False,False,False,False,False,False,False,False,False,False,False
15,198,105,198,142,75,198,198,105,198,198,198,198,48,False,False,False,False,False,False,False,False,False,False,False,False
16,60,12,60,120,25,60,60,12,60,60,60,60,25,False,False,False,False,True,False,False,False,False,False,False,False
17,236,77,236,94,236,236,236,77,236,236,236,236,19,False,False,False,False,False,False,False,False,False,False,False,False
18,221,1,221,1,158,221,221,1,221,221,221,221,73,False,False,False,False,False,False,False,False,False,False,False,False
19,164,89,164,165,259,164,164,89,164,164,164,164,212,False,False,False,False,False,False,False,False,False,False,False,False
20,220,77,220,94,77,220,220,77,220,220,220,220,220,True,False,True,False,False,True,True,False,True,True,True,True
21,67,67,67,244,144,67,67,67,67,67,67,67,72,False,False,False,False,False,False,False,False,False,False,False,False
22,156,107,156,167,267,156,156,107,156,156,156,156,107,False,True,False,False,False,False,False,True,False,False,False,False
23,161,157,161,157,188,161,161,157,161,161,161,161,161,True,False,True,False,False,True,True,False,True,True,True,True
24,60,167,60,167,271,60,60,167,60,60,60,60,60,True,False,True,False,False,True,True,False,True,True,True,True
25,140,77,140,77,259,77,140,77,140,140,140,140,77,False,True,False,True,False,True,False,True,False,False,False,False
26,218,146,218,146,146,218,218,146,218,218,218,218,218,True,False,True,False,False,True,True,False,True,True,True,True
27,206,206,206,206,206,206,206,206,206,206,206,206,206,True,True,True,True,True,True,True,True,True,True,True,True
28,156,62,156,120,146,156,156,62,156,156,156,156,97,False,False,False,False,False,False,False,False,False,False,False,False
29,124,0,124,238,182,124,124,0,124,124,124,124,118,False,False,False,False,False,False,False,False,False,False,False,False
30,269,72,269,209,268,269,269,269,269,269,269,269,269,True,False,True,False,False,True,True,True,True,True,True,True
31,195,15,195,167,30,203,203,195,195,195,195,195,195,True,False,True,False,False,False,False,True,True,True,True,True
32,236,67,236,228,236,236,236,236,236,236,236,236,67,False,True,False,False,False,False,False,False,False,False,False,False
33,222,30,222,244,56,222,222,222,222,222,222,222,144,False,False,False,False,False,False,False,False,False,False,False,False
34,215,143,215,143,229,215,215,215,215,215,215,215,221,False,False,False,False,False,False,False,False,False,False,False,False
35,60,107,60,107,208,60,60,60,60,60,60,60,60,True,False,True,False,False,True,True,True,True,True,True,True
36,156,62,156,62,232,156,156,156,156,156,156,156,156,True,False,True,False,False,True,True,True,True,True,True,True
37,161,167,161,167,208,161,161,161,161,161,161,161,208,False,False,False,False,True,False,False,False,False,False,False,False
38,236,129,236,231,129,236,236,236,236,236,236,236,236,True,False,True,False,False,True,True,True,True,True,True,True
39,91,30,91,91,30,91,91,91,91,91,91,91,30,False,True,False,False,True,False,False,False,False,False,False,False
40,143,143,143,143,185,143,143,143,143,143,143,143,185,False,False,False,False,True,False,False,False,False,False,False,False
41,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
0,255,0,255,245,0,0,0,0,255,255,255,255,201,False,False,False,False,False,False,False,False,False,False,False,False
1,167,20,167,167,123,20,20,20,167,167,167,167,173,False,False,False,False,False,False,False,False,False,False,False,False
2,209,143,209,209,184,143,143,143,209,209,209,209,209,True,False,True,True,False,False,False,False,True,True,True,True
3,8,8,8,8,129,8,8,8,8,8,8,8,8,True,True,True,True,False,True,True,True,True,True,True,True
4,1,1,1,1,262,1,1,1,1,1,1,1,12,False,False,False,False,False,False,False,False,False,False,False,False
5,209,30,209,209,209,209,30,30,209,209,209,209,209,True,False,True,True,True,True,False,False,True,True,True,True
6,244,17,244,244,35,244,17,17,244,244,244,244,67,False,False,False,False,False,False,False,False,False,False,False,False
7,165,103,165,165,212,165,103,103,165,165,165,165,103,False,True,False,False,False,False,True,True,False,False,False,False
8,245,30,245,245,23,245,30,30,245,245,245,245,245,True,False,True,True,False,True,False,False,True,True,True,True
9,167,165,167,167,4,167,165,165,167,167,167,167,167,True,False,True,True,False,True,False,False,True,True,True,True
10,86,4,86,86,10,86,4,4,86,86,86,86,86,True,False,True,True,False,True,False,False,True,True,True,True
11,167,156,167,167,222,167,156,156,167,167,167,167,167,True,False,True,True,False,True,False,False,True,True,True,True
12,2,2,2,2,2,2,2,2,2,2,2,2,2,True,True,True,True,True,True,True,True,True,True,True,True
13,206,206,206,206,206,206,206,206,206,206,206,206,206,True,True,True,True,True,True,True,True,True,True,True,True
14,209,0,209,209,222,209,0,0,209,209,209,209,209,True,False,True,True,False,True,False,False,True,True,True,True
15,178,24,178,178,26,178,178,24,178,178,178,178,128,False,False,False,False,False,False,False,False,False,False,False,False
16,120,12,120,120,12,120,120,12,120,120,120,120,12,False,True,False,False,True,False,False,True,False,False,False,False
17,120,24,120,120,156,120,120,24,120,120,120,120,120,True,False,True,True,False,True,True,False,True,True,True,True
18,182,62,182,182,67,182,182,62,182,182,182,182,182,True,False,True,True,False,True,True,False,True,True,True,True
19,120,24,120,120,24,120,120,24,120,120,120,120,53,False,False,False,False,False,False,False,False,False,False,False,False
20,181,181,181,181,262,215,181,181,181,181,181,181,191,False,False,False,False,False,False,False,False,False,False,False,False
21,182,20,182,182,229,182,182,20,182,182,182,182,231,False,False,False,False,False,False,False,False,False,False,False,False
22,222,124,222,222,87,124,222,124,222,222,222,222,222,True,False,True,True,False,False,True,False,True,True,True,True
23,4,30,4,4,4,4,4,30,4,4,4,4,4,True,False,True,True,True,True,True,False,True,True,True,True
24,271,271,271,271,42,271,271,271,271,271,271,271,271,True,True,True,True,False,True,True,True,True,True,True,True
25,271,62,271,62,62,181,181,62,271,271,271,271,271,True,False,True,False,False,False,False,False,True,True,True,True
26,257,257,257,257,257,185,185,257,257,257,257,257,257,True,True,True,True,True,False,False,True,True,True,True,True
27,208,208,208,208,208,208,208,208,208,208,208,208,208,True,True,True,True,True,True,True,True,True,True,True,True
28,192,0,192,192,192,192,192,0,192,192,192,192,192,True,False,True,True,True,True,True,False,True,True,True,True
29,157,0,157,157,195,157,157,0,157,157,157,157,135,False,False,False,False,False,False,False,False,False,False,False,False
30,209,53,209,209,11,209,209,209,209,209,209,209,86,False,False,False,False,False,False,False,False,False,False,False,False
31,110,33,110,110,77,110,110,110,110,110,110,110,33,False,True,False,False,False,False,False,False,False,False,False,False
32,119,30,119,119,247,182,182,119,119,119,119,119,119,True,False,True,True,False,False,False,True,True,True,True,True
33,157,18,157,157,42,157,157,157,157,157,157,157,56,False,False,False,False,False,False,False,False,False,False,False,False
34,203,203,203,203,198,198,203,203,203,203,203,203,203,True,True,True,True,False,False,True,True,True,True,True,True
35,239,97,239,239,185,239,239,239,239,239,239,239,239,True,False,True,True,False,True,True,True,True,True,True,True
36,165,91,165,165,124,165,165,165,165,165,165,165,271,False,False,False,False,False,False,False,False,False,False,False,False
37,157,30,157,157,134,157,157,157,157,157,157,157,157,True,False,True,True,False,True,True,True,True,True,True,True
