,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
13,6,6,6,6,6,6,6,6,6,6,6,6,6,True,True,True,True,True,True,True,True,True,True,True,True
14,142,4,142,221,244,142,4,4,142,142,142,142,204,False,False,False,False,False,False,False,False,False,False,False,False
15,112,17,112,95,256,112,112,17,112,112,112,112,112,True,False,True,False,False,True,True,False,True,True,True,True
16,66,62,66,168,123,66,66,62,66,66,66,66,65,False,False,False,False,False,False,False,False,False,False,False,False
17,220,6,220,221,6,220,220,6,220,220,220,220,46,False,False,False,False,False,False,False,False,False,False,False,False
18,4,4,4,95,129,4,4,4,4,4,4,4,151,False,False,False,False,False,False,False,False,False,False,False,False
19,107,203,107,107,170,107,107,203,107,107,107,107,146,False,False,False,False,False,False,False,False,False,False,False,False
20,24,24,24,24,97,24,24,24,24,24,24,24,24,True,True,True,True,False,True,True,True,True,True,True,True
21,191,2,191,103,2,91,91,2,191,191,191,191,191,True,False,True,False,False,False,False,False,True,True,True,True
22,142,4,142,142,198,142,142,4,142,142,142,142,4,False,True,False,False,False,False,False,True,False,False,False,False
23,53,53,184,53,84,184,184,53,184,53,53,53,184,False,False,True,False,False,True,True,False,True,False,False,False
24,243,243,243,243,123,243,243,243,243,243,243,243,123,False,False,False,False,True,False,False,False,False,False,False,False
25,28,28,28,221,28,28,28,28,28,28,28,28,221,False,False,False,True,False,False,False,False,False,False,False,False
26,105,105,262,262,262,105,105,105,262,105,105,105,262,False,False,True,True,True,False,False,False,True,False,False,False
27,91,91,91,91,91,91,91,91,91,91,91,91,91,True,True,True,True,True,True,True,True,True,True,True,True
28,79,203,79,253,228,79,79,203,79,79,79,79,79,True,False,True,False,False,True,True,False,True,True,True,True
29,107,80,107,107,153,107,107,80,107,107,107,107,195,False,False,False,False,False,False,False,False,False,False,False,False
30,248,84,248,146,46,248,146,248,248,248,248,248,46,False,False,False,False,True,False,False,False,False,False,False,False
31,69,203,69,231,203,69,69,69,69,69,69,69,69,True,False,True,False,False,True,True,True,True,True,True,True
32,220,4,220,220,4,220,220,220,220,220,220,220,67,False,False,False,False,False,False,False,False,False,False,False,False
33,56,24,24,56,143,56,56,224,24,56,56,56,56,True,False,False,True,False,True,True,False,False,True,True,True
34,107,77,107,107,107,107,107,107,107,107,107,107,107,True,False,True,True,True,True,True,True,True,True,True,True
35,191,203,191,206,158,191,191,191,191,191,191,191,191,True,False,True,False,False,True,True,True,True,True,True,True
36,173,173,173,253,253,173,173,173,173,173,173,173,173,True,True,True,False,False,True,True,True,True,True,True,True
37,28,28,28,30,30,28,28,28,28,28,28,28,271,False,False,False,False,False,False,False,False,False,False,False,False
38,84,84,84,84,198,84,84,208,84,84,84,84,84,True,True,True,True,False,True,True,False,True,True,True,True
39,52,52,52,92,92,52,52,52,52,52,52,52,52,True,True,True,False,False,True,True,True,True,True,True,True
40,4,4,4,4,4,4,4,4,4,4,4,4,4,True,True,True,True,True,True,True,True,True,True,True,True
41,187,187,187,187,187,187,187,187,187,187,187,187,187,True,True,True,True,True,True,True,True,True,True,True,True
0,127,127,127,238,161,127,127,127,127,127,127,127,127,True,True,True,False,False,True,True,True,True,True,True,True
1,93,2,93,146,26,2,2,2,93,93,93,93,93,True,False,True,False,False,False,False,False,True,True,True,True
2,238,10,238,10,22,10,10,10,238,238,238,238,168,False,False,False,False,False,False,False,False,False,False,False,False
3,249,20,249,249,157,20,20,20,249,249,249,249,260,False,False,False,False,False,False,False,False,False,False,False,False
4,218,17,218,221,165,17,17,17,218,218,218,218,221,False,False,False,True,False,False,False,False,False,False,False,False
5,96,17,96,262,246,96,17,17,96,96,96,96,96,True,False,True,False,False,True,False,False,True,True,True,True
6,4,4,4,4,4,4,4,4,4,4,4,4,198,False,False,False,False,False,False,False,False,False,False,False,False
7,231,72,231,231,42,231,72,72,231,231,231,231,72,False,True,False,False,False,False,True,True,False,False,False,False
8,150,150,150,262,161,150,150,150,150,150,150,150,150,True,True,True,False,False,True,True,True,True,True,True,True
9,146,146,146,146,244,146,146,146,146,146,146,146,60,False,False,False,False,False,False,False,False,False,False,False,False
10,23,23,23,77,77,23,23,23,23,23,23,23,87,False,False,False,False,False,False,False,False,False,False,False,False
11,222,62,222,222,163,222,62,62,222,222,222,222,163,False,False,False,False,True,False,False,False,False,False,False,False
12,165,165,165,257,257,165,165,165,165,165,165,165,257,False,False,False,True,True,False,False,False,False,False,False,False
13,163,163,163,163,163,163,163,163,163,163,163,163,163,True,True,True,True,True,True,True,True,True,True,True,True
14,107,56,107,107,167,107,56,56,107,107,107,107,118,False,False,False,False,False,False,False,False,False,False,False,False
15,142,28,142,142,188,142,142,28,142,142,142,142,48,False,False,False,False,False,False,False,False,False,False,False,False
16,243,25,243,56,12,243,243,25,243,243,243,243,25,False,True,False,False,False,False,False,True,False,False,False,False
17,265,19,265,265,259,265,265,19,265,265,265,265,19,False,True,False,False,False,False,False,True,False,False,False,False
18,146,1,146,146,61,146,146,1,146,146,146,146,73,False,False,False,False,False,False,False,False,False,False,False,False
19,231,203,231,231,100,231,231,203,231,231,231,231,212,False,False,False,False,False,False,False,False,False,False,False,False
20,220,77,220,220,94,220,220,77,220,220,220,220,220,True,False,True,True,False,True,True,False,True,True,True,True
21,105,67,105,72,67,105,67,67,105,105,105,105,72,False,False,False,True,False,False,False,False,False,False,False,False
22,107,107,107,107,156,107,107,107,107,107,107,107,107,True,True,True,True,False,True,True,True,True,True,True,True
23,28,28,28,28,157,28,28,28,28,28,28,28,161,False,False,False,False,False,False,False,False,False,False,False,False
24,167,167,167,167,167,167,167,167,167,167,167,167,60,False,False,False,False,False,False,False,False,False,False,False,False
25,140,77,140,77,140,140,140,77,140,140,140,140,77,False,True,False,True,False,False,False,True,False,False,False,False
26,146,146,146,146,146,146,146,146,146,146,146,146,218,False,False,False,False,False,False,False,False,False,False,False,False
27,206,206,206,206,206,206,206,206,206,206,206,206,206,True,True,True,True,True,True,True,True,True,True,True,True
28,146,49,146,146,242,146,146,49,146,146,146,146,97,False,False,False,False,False,False,False,False,False,False,False,False
29,118,0,118,238,42,118,118,0,118,118,118,118,118,True,False,True,False,False,True,True,False,True,True,True,True
30,56,209,231,56,119,231,56,231,231,56,56,56,269,False,False,False,False,False,False,False,False,False,False,False,False
31,28,203,28,30,203,28,28,28,28,28,28,28,195,False,False,False,False,False,False,False,False,False,False,False,False
32,146,23,146,146,75,146,146,146,146,146,146,146,67,False,False,False,False,False,False,False,False,False,False,False,False
33,56,30,56,56,56,56,56,56,56,56,56,56,144,False,False,False,False,False,False,False,False,False,False,False,False
34,146,146,146,146,215,146,146,146,146,146,146,146,221,False,False,False,False,False,False,False,False,False,False,False,False
35,107,54,107,107,191,107,107,107,107,107,107,107,60,False,False,False,False,False,False,False,False,False,False,False,False
36,146,62,146,146,146,146,146,146,146,146,146,146,156,False,False,False,False,False,False,False,False,False,False,False,False
37,231,161,231,231,208,231,231,231,231,231,231,231,208,False,False,False,False,True,False,False,False,False,False,False,False
38,231,129,231,231,129,231,231,231,231,231,231,231,236,False,False,False,False,False,False,False,False,False,False,False,False
39,28,28,28,30,28,28,28,28,28,28,28,28,30,False,False,False,True,False,False,False,False,False,False,False,False
40,185,185,185,185,143,185,185,185,185,185,185,185,185,True,True,True,True,False,True,True,True,True,True,True,True
41,30,30,30,30,30,30,30,30,30,30,30,30,30,True,True,True,True,True,True,True,True,True,True,True,True
0,247,0,247,146,201,0,0,0,247,247,247,247,201,False,False,False,False,True,False,False,False,False,False,False,False
1,249,4,249,56,56,4,4,4,249,249,249,249,173,False,False,False,False,False,False,False,False,False,False,False,False
2,4,209,4,10,143,209,209,209,4,4,4,4,209,False,True,False,False,False,True,True,True,False,False,False,False
3,142,8,142,56,110,8,8,8,8,142,142,142,8,False,True,False,False,False,True,True,True,True,False,False,False
4,1,1,1,1,259,1,1,1,1,1,1,1,12,False,False,False,False,False,False,False,False,False,False,False,False
5,30,209,30,209,35,30,209,209,30,30,30,30,209,False,True,False,True,False,False,True,True,False,False,False,False
6,91,17,91,84,236,91,17,17,91,91,91,91,67,False,False,False,False,False,False,False,False,False,False,False,False
7,243,23,28,243,165,28,23,23,28,243,243,243,103,False,False,False,False,False,False,False,False,False,False,False,False
8,247,23,247,247,23,247,23,23,247,247,247,247,245,False,False,False,False,False,False,False,False,False,False,False,False
9,249,4,249,249,249,249,4,4,249,249,249,249,167,False,False,False,False,False,False,False,False,False,False,False,False
10,4,4,4,10,4,4,4,4,4,4,4,4,86,False,False,False,False,False,False,False,False,False,False,False,False
11,167,156,167,222,156,167,156,156,167,167,167,167,167,True,False,True,False,False,True,False,False,True,True,True,True
12,262,2,262,262,2,262,2,2,262,262,262,262,2,False,True,False,False,True,False,True,True,False,False,False,False
13,206,206,206,206,206,206,206,206,206,206,206,206,206,True,True,True,True,True,True,True,True,True,True,True,True
14,133,209,133,133,87,133,209,209,133,133,133,133,209,False,True,False,False,False,False,True,True,False,False,False,False
15,4,4,4,26,4,4,4,4,4,4,4,4,128,False,False,False,False,False,False,False,False,False,False,False,False
16,234,23,234,42,60,234,234,23,234,234,234,234,12,False,False,False,False,False,False,False,False,False,False,False,False
17,255,24,255,255,120,255,255,24,255,255,255,255,120,False,False,False,False,True,False,False,False,False,False,False,False
18,243,62,243,221,92,243,243,62,243,243,243,243,182,False,False,False,False,False,False,False,False,False,False,False,False
19,28,24,28,53,185,28,28,24,28,28,28,28,53,False,False,False,True,False,False,False,False,False,False,False,False
20,214,181,214,262,215,214,214,181,214,214,214,214,191,False,False,False,False,False,False,False,False,False,False,False,False
21,231,20,231,231,208,231,231,20,231,231,231,231,231,True,False,True,True,False,True,True,False,True,True,True,True
22,29,29,29,29,222,29,29,29,29,29,29,29,222,False,False,False,False,True,False,False,False,False,False,False,False
23,4,4,4,30,123,4,4,4,4,4,4,4,4,True,True,True,False,False,True,True,True,True,True,True,True
24,208,23,208,42,208,208,208,23,208,208,208,208,271,False,False,False,False,False,False,False,False,False,False,False,False
25,271,62,271,62,62,271,271,62,271,271,271,271,271,True,False,True,False,False,True,True,False,True,True,True,True
26,185,257,257,257,185,257,257,257,257,185,185,185,257,False,True,True,True,False,True,True,True,True,False,False,False
27,208,208,208,208,208,208,208,208,208,208,208,208,208,True,True,True,True,True,True,True,True,True,True,True,True
28,192,153,153,192,271,192,192,153,153,192,192,192,192,True,False,False,True,False,True,True,False,False,True,True,True
29,95,0,95,95,205,95,95,0,95,95,95,95,135,False,False,False,False,False,False,False,False,False,False,False,False
30,53,209,53,10,169,10,10,53,53,53,53,53,86,False,False,False,False,False,False,False,False,False,False,False,False
31,33,33,33,262,33,33,33,33,33,33,33,33,33,True,True,True,False,True,True,True,True,True,True,True,True
32,247,30,247,247,182,247,247,247,247,247,247,247,119,False,False,False,False,False,False,False,False,False,False,False,False
33,18,4,18,56,42,18,18,18,18,18,18,18,56,False,False,False,True,False,False,False,False,False,False,False,False
34,258,203,258,208,23,258,258,258,258,258,258,258,203,False,True,False,False,False,False,False,False,False,False,False,False
35,195,97,195,239,97,195,195,195,195,195,195,195,239,False,False,False,True,False,False,False,False,False,False,False,False
36,91,91,91,262,271,262,262,91,91,91,91,91,271,False,False,False,False,True,False,False,False,False,False,False,False
37,30,30,30,30,157,30,30,30,30,30,30,30,157,False,False,False,False,True,False,False,False,False,False,False,False
38,221,84,221,221,84,221,221,221,221,221,221,221,42,False,False,False,False,False,False,False,False,False,False,False,False
39,91,77,91,77,91,91,91,91,91,91,91,91,232,False,False,False,False,False,False,False,False,False,False,False,False
40,30,30,30,30,60,30,30,30,30,30,30,30,60,False,False,False,False,True,False,False,False,False,False,False,False
41,4,4,4,4,4,4,4,4,4,4,4,4,4,True,True,True,True,True,True,True,True,True,True,True,True
0,247,0,247,238,55,0,0,0,247,247,247,247,55,False,False,False,False,True,False,False,False,False,False,False,False
1,248,4,248,269,270,4,4,4,248,248,248,248,19,False,False,False,False,False,False,False,False,False,False,False,False
2,191,6,191,30,109,6,6,6,191,191,191,191,19,False,False,False,False,False,False,False,False,False,False,False,False
3,66,2,66,221,221,2,2,2,66,66,66,66,132,False,False,False,False,False,False,False,False,False,False,False,False
4,69,203,69,221,221,203,203,203,69,69,69,69,69,True,False,True,False,False,False,False,False,True,True,True,True
5,184,53,184,53,196,184,53,53,184,184,184,184,187,False,False,False,False,False,False,False,False,False,False,False,False
6,243,87,231,231,206,243,87,87,231,243,243,243,253,False,False,False,False,False,False,False,False,False,False,False,False
