,basic_agent,Greedy Agent_turns_greedy_0,arch_receiver_agent,"med_agent_archs_[0, 1, 2]",dummy_agent_random,force_k_agent_k_5,force_k_agent_k_15,force_k_agent_k_30,arch_pass_agent,hard_agent_8_16_linear,hard_agent_8_16_log10,hard_agent_8_16_ln,Real,basic_agent_match,Greedy Agent_turns_greedy_0_match,arch_receiver_agent_match,"med_agent_archs_[0, 1, 2]_match",dummy_agent_random_match,force_k_agent_k_5_match,force_k_agent_k_15_match,force_k_agent_k_30_match,arch_pass_agent_match,hard_agent_8_16_linear_match,hard_agent_8_16_log10_match,hard_agent_8_16_ln_match
5,6,17,6,110,16,6,17,17,6,6,6,6,110,False,False,False,True,False,False,False,False,False,False,False,False
6,84,18,84,84,84,84,18,18,84,84,84,84,18,False,True,False,False,False,False,True,True,False,False,False,False
7,215,215,215,215,105,215,215,215,215,215,215,215,103,False,False,False,False,False,False,False,False,False,False,False,False
8,84,215,84,84,215,262,215,215,84,84,84,84,158,False,False,False,False,False,False,False,False,False,False,False,False
9,84,84,84,84,167,84,84,84,84,84,84,84,105,False,False,False,False,False,False,False,False,False,False,False,False
10,163,72,163,167,154,163,72,72,163,163,163,163,72,False,True,False,False,False,False,True,True,False,False,False,False
11,105,199,105,61,61,105,199,199,105,105,105,105,105,True,False,True,False,False,True,False,False,True,True,True,True
12,105,105,105,105,105,105,105,105,105,105,105,105,72,False,False,False,False,False,False,False,False,False,False,False,False
13,6,6,6,6,6,6,6,6,6,6,6,6,6,True,True,True,True,True,True,True,True,True,True,True,True
14,28,28,28,142,143,28,28,28,28,28,28,28,204,False,False,False,False,False,False,False,False,False,False,False,False
15,126,53,126,126,253,126,126,53,126,126,126,126,112,False,False,False,False,False,False,False,False,False,False,False,False
16,66,65,66,66,123,66,66,65,66,66,66,66,65,False,True,False,False,False,False,False,True,False,False,False,False
17,220,220,220,220,16,220,220,220,220,220,220,220,46,False,False,False,False,False,False,False,False,False,False,False,False
18,262,95,95,95,151,262,262,95,95,262,262,262,151,False,False,False,False,True,False,False,False,False,False,False,False
19,170,107,170,170,107,170,170,107,170,170,170,170,146,False,False,False,False,False,False,False,False,False,False,False,False
20,97,24,97,97,97,97,97,24,97,97,97,97,24,False,True,False,False,False,False,False,True,False,False,False,False
21,84,2,84,84,2,84,84,2,84,84,84,84,191,False,False,False,False,False,False,False,False,False,False,False,False
22,28,28,28,142,198,28,28,28,28,28,28,28,4,False,False,False,False,False,False,False,False,False,False,False,False
23,84,53,84,84,129,84,84,53,84,84,84,84,184,False,False,False,False,False,False,False,False,False,False,False,False
24,163,243,163,163,123,163,163,243,163,163,163,163,123,False,False,False,False,True,False,False,False,False,False,False,False
25,28,28,28,28,221,28,28,28,28,28,28,28,221,False,False,False,False,True,False,False,False,False,False,False,False
26,262,262,262,262,105,262,262,262,262,262,262,262,262,True,True,True,True,False,True,True,True,True,True,True,True
27,91,91,91,91,91,91,91,91,91,91,91,91,91,True,True,True,True,True,True,True,True,True,True,True,True
28,73,67,73,73,100,73,73,67,73,73,73,73,79,False,False,False,False,False,False,False,False,False,False,False,False
29,270,107,270,270,28,270,270,107,270,270,270,270,195,False,False,False,False,False,False,False,False,False,False,False,False
30,248,248,248,95,146,248,248,248,248,248,248,248,46,False,False,False,False,False,False,False,False,False,False,False,False
31,89,52,89,176,92,89,89,89,89,89,89,89,69,False,False,False,False,False,False,False,False,False,False,False,False
32,220,220,220,220,105,220,220,220,220,220,220,220,67,False,False,False,False,False,False,False,False,False,False,False,False
33,87,24,87,87,208,87,87,87,87,87,87,87,56,False,False,False,False,False,False,False,False,False,False,False,False
34,107,107,107,167,92,107,107,107,107,107,107,107,107,True,True,True,False,False,True,True,True,True,True,True,True
35,23,203,23,92,206,23,23,23,23,23,23,23,191,False,False,False,False,False,False,False,False,False,False,False,False
36,188,188,188,188,228,188,188,188,188,188,188,188,173,False,False,False,False,False,False,False,False,False,False,False,False
37,28,271,28,28,271,28,28,28,28,28,28,28,271,False,True,False,False,True,False,False,False,False,False,False,False
38,84,129,84,84,198,84,84,84,84,84,84,84,84,True,False,True,True,False,True,True,True,True,True,True,True
39,92,52,92,92,222,92,92,92,92,92,92,92,52,False,True,False,False,False,False,False,False,False,False,False,False
40,105,105,105,105,105,105,105,105,105,105,105,105,4,False,False,False,False,False,False,False,False,False,False,False,False
41,187,187,187,187,187,187,187,187,187,187,187,187,187,True,True,True,True,True,True,True,True,True,True,True,True
0,127,238,127,238,222,238,238,238,127,127,127,127,127,True,False,True,False,False,False,False,False,True,True,True,True
1,84,2,84,84,93,2,2,2,84,84,84,84,93,False,False,False,False,True,False,False,False,False,False,False,False
2,87,238,87,238,168,238,238,238,87,87,87,87,168,False,False,False,False,True,False,False,False,False,False,False,False
3,260,24,260,260,163,24,24,24,260,260,260,260,260,True,False,True,True,False,False,False,False,True,True,True,True
4,218,188,218,167,17,188,188,188,218,218,218,218,221,False,False,False,False,False,False,False,False,False,False,False,False
5,262,271,262,262,20,262,271,271,262,262,262,262,96,False,False,False,False,False,False,False,False,False,False,False,False
6,198,181,198,198,198,198,181,181,198,198,198,198,198,True,False,True,True,True,True,False,False,True,True,True,True
7,163,187,163,244,42,163,187,187,163,163,163,163,72,False,False,False,False,False,False,False,False,False,False,False,False
8,262,262,262,262,267,262,262,262,262,262,262,262,150,False,False,False,False,False,False,False,False,False,False,False,False
9,267,146,267,244,244,267,146,146,267,267,267,267,60,False,False,False,False,False,False,False,False,False,False,False,False
10,87,101,87,87,77,87,101,101,87,87,87,87,87,True,False,True,True,False,True,False,False,True,True,True,True
11,163,163,163,163,222,163,163,163,163,163,163,163,163,True,True,True,True,False,True,True,True,True,True,True,True
12,257,165,257,165,257,257,165,165,257,257,257,257,257,True,False,True,False,True,True,False,False,True,True,True,True
13,163,163,163,163,163,163,163,163,163,163,163,163,163,True,True,True,True,True,True,True,True,True,True,True,True
14,95,107,95,95,95,95,107,107,95,95,95,95,118,False,False,False,False,False,False,False,False,False,False,False,False
15,28,28,28,142,244,28,28,28,28,28,28,28,48,False,False,False,False,False,False,False,False,False,False,False,False
16,60,271,60,167,60,60,60,271,60,60,60,60,25,False,False,False,False,False,False,False,False,False,False,False,False
17,19,19,19,19,140,19,19,19,19,19,19,19,19,True,True,True,True,False,True,True,True,True,True,True,True
18,73,73,73,1,221,73,73,73,73,73,73,73,73,True,True,True,False,False,True,True,True,True,True,True,True
19,89,203,89,89,206,89,89,203,89,89,89,89,212,False,False,False,False,False,False,False,False,False,False,False,False
20,220,220,220,220,77,220,220,220,220,220,220,220,220,True,True,True,True,False,True,True,True,True,True,True,True
21,229,67,229,244,67,229,229,67,229,229,229,229,72,False,False,False,False,False,False,False,False,False,False,False,False
